college-stub	department-stub	faculty-stub	faculty-name	faculty-rank	department-name	faculty-url	faculty-degree	faculty-school	faculty-degree-year	faculty-discipline
	2c68c2fc8f74c11313c6229a4dd8d52e		Gill, Richard A.	Associate Professor	Biology		PhD	Colorado State University	1998	
	2c68c2fc8f74c11313c6229a4dd8d52e		Jensen, Jamie L.	Assistant Professor	Biology		PhD	Arizona State University	2008	
	2c68c2fc8f74c11313c6229a4dd8d52e		Johnson, Jerald B.	Professor	Biology		PhD	University of Vermont	2000	
	2c68c2fc8f74c11313c6229a4dd8d52e		Johnson, Leigh A.	Professor	Biology		PhD	Washington State University	1996	
	2c68c2fc8f74c11313c6229a4dd8d52e		Johnson, Robert L.	Associate Research Professor	Biology		PhD	Brigham Young University	2008	
	2c68c2fc8f74c11313c6229a4dd8d52e		Kauwe, John S. K.	Assistant Professor	Biology		PhD	Washington University in St. Louis	2007	
	2c68c2fc8f74c11313c6229a4dd8d52e		Koide, Roger T.	Professor	Biology		PhD	University of California, Berkeley	1984	
	2c68c2fc8f74c11313c6229a4dd8d52e		Nelson, C. Riley	Professor	Biology		PhD	Brigham Young University	1986	
	2c68c2fc8f74c11313c6229a4dd8d52e		Peck, Steven L.	Associate Professor	Biology		PhD	North Carolina State University	1997	
	2c68c2fc8f74c11313c6229a4dd8d52e		Rader, Russell B.	Professor	Biology		PhD	Colorado State University	1987	
	2c68c2fc8f74c11313c6229a4dd8d52e		Ridge, Perry G.	Assistant Professor	Biology		PhD	Brigham Young University	2013	
	2c68c2fc8f74c11313c6229a4dd8d52e		Roeder, Beverly L.	Professor	Biology		PhD	Pennsylvania State University	1990	
	2c68c2fc8f74c11313c6229a4dd8d52e		Rogers, Duke S.	Professor	Biology		PhD	University of California, Berkeley	1986	
	2c68c2fc8f74c11313c6229a4dd8d52e		Shiozawa, Dennis K.	Professor	Biology		PhD	University of Minnesota, St. Paul	1978	
	2c68c2fc8f74c11313c6229a4dd8d52e		Sites Jr., Jack W.	Professor	Biology		PhD	Texas A&M University	1980	
	2c68c2fc8f74c11313c6229a4dd8d52e		St. Clair, Larry L.	Professor	Biology		PhD	University of Colorado	1984	
	2c68c2fc8f74c11313c6229a4dd8d52e		Whipple, Clint J.	Associate Professor	Biology		PhD	University of California, San Diego	2006	
	2c68c2fc8f74c11313c6229a4dd8d52e		Whiting, Michael F.	Professor	Biology		PhD	Cornell University	1994	
	2c68c2fc8f74c11313c6229a4dd8d52e		Wilcox, Edward R.	Research Associate Professor	Biology		PhD	University of California, Davis	1982	
	2319d3b825221a08b0857e8b1c3d108e		Argyle, Morris D.	Associate Professor	Chemical Engineering		PhD	University of California, Berkeley	2003	
	2319d3b825221a08b0857e8b1c3d108e		Baxter, Larry L.	Professor	Chemical Engineering		PhD	Brigham Young University	1989	
	2319d3b825221a08b0857e8b1c3d108e		Bundy, Bradley C.	Associate Professor	Chemical Engineering		PhD	Stanford University	2009	
	2319d3b825221a08b0857e8b1c3d108e		Cook, Alonzo D.	Associate Professor	Chemical Engineering		PhD	Massachusetts Institute of Technology	1996	
	2319d3b825221a08b0857e8b1c3d108e		Fletcher, Thomas H.	Professor	Chemical Engineering		PhD	Brigham Young University	1983	
	2319d3b825221a08b0857e8b1c3d108e		Harb, John N.	Professor	Chemical Engineering		PhD	University of Illinois	1988	
	2319d3b825221a08b0857e8b1c3d108e		Hecker, William C.	Associate Professor	Chemical Engineering		PhD	University of California, Berkeley	1982	
	2319d3b825221a08b0857e8b1c3d108e		Hedengren, John D.	Assistant Professor	Chemical Engineering		PhD	University of Texas, Austin	2005	
	2319d3b825221a08b0857e8b1c3d108e		Knotts, Thomas A.	Associate Professor	Chemical Engineering		PhD	University of Wisconsin, Madison	2006	
	2319d3b825221a08b0857e8b1c3d108e		Lewis, Randy S.	Professor	Chemical Engineering		PhD	Massachusetts Institute of Technology	1995	
	2319d3b825221a08b0857e8b1c3d108e		Lignell, David O.	Associate Professor	Chemical Engineering		PhD	University of Utah	2008	
	2319d3b825221a08b0857e8b1c3d108e		Pitt, William G.	Professor	Chemical Engineering		PhD	University of Wisconsin, Madison	1987	
	2319d3b825221a08b0857e8b1c3d108e		Wheeler, Dean R.	Associate Professor	Chemical Engineering		PhD	University of California, Berkeley	2002	
	2319d3b825221a08b0857e8b1c3d108e		Wilding, W. Vincent	Professor	Chemical Engineering		PhD	Rice University	1985	
	271d5073b537937e09ae422bf30dddf4		Andersen, Joshua L.	Assistant Professor	Chemistry and Biochemistry		PhD	University of Utah	2006	
	271d5073b537937e09ae422bf30dddf4		Andrus, Merritt B.	Professor	Chemistry and Biochemistry		PhD	University of Utah	1991	
	271d5073b537937e09ae422bf30dddf4		Asplund, Matthew C.	Associate Professor	Chemistry and Biochemistry		PhD	University of California, Berkeley	1998	
	271d5073b537937e09ae422bf30dddf4		Austin, Daniel E.	Associate Professor	Chemistry and Biochemistry		PhD	California Institute of Technology	2003	
	271d5073b537937e09ae422bf30dddf4		Burt, Scott R.	Assistant Teaching Professor	Chemistry and Biochemistry		PhD	University of California, Berkeley	2008	
	271d5073b537937e09ae422bf30dddf4		Burton, Gregory F.	Professor	Chemistry and Biochemistry		PhD	Medical College of Virginia, Virginia Commonwealth	1989	
	271d5073b537937e09ae422bf30dddf4		Castle, Steven L.	Professor	Chemistry and Biochemistry		PhD	Scripps Research Institute	2000	
	271d5073b537937e09ae422bf30dddf4		Christensen, Kenneth A.	Associate Professor	Chemistry and Biochemistry		PhD	University of Michigan	1997	
	271d5073b537937e09ae422bf30dddf4		Dearden, David V.	Professor	Chemistry and Biochemistry		PhD	California Institute of Technology	1989	
	271d5073b537937e09ae422bf30dddf4		Ess, Daniel H.	Assistant Professor	Chemistry and Biochemistry		PhD	University of California, Los Angeles	2007	
	271d5073b537937e09ae422bf30dddf4		Farnsworth, Paul B.	Professor	Chemistry and Biochemistry		PhD	University of Wisconsin, Madison	1981	
	271d5073b537937e09ae422bf30dddf4		Goates, Steven R.	Professor	Chemistry and Biochemistry		PhD	University of Michigan	1981	
	271d5073b537937e09ae422bf30dddf4		Graves, Steven W.	Professor	Chemistry and Biochemistry		PhD	Yale University	1978	
	271d5073b537937e09ae422bf30dddf4		Hansen, Jaron C.	Associate Professor	Chemistry and Biochemistry		PhD	Purdue University	2002	
	271d5073b537937e09ae422bf30dddf4		Harrison, Roger G.	Associate Professor	Chemistry and Biochemistry		PhD	University of Utah	1993	
	271d5073b537937e09ae422bf30dddf4		Johnson, Jeremy A.	Assistant Professor	Chemistry and Biochemistry		PhD	Massachusetts Institute of Technology	2011	
	271d5073b537937e09ae422bf30dddf4		Linford, Matthew R.	Professor	Chemistry and Biochemistry		PhD	Stanford University	1996	
	271d5073b537937e09ae422bf30dddf4		Macedone, Jeffrey H.	Associate Teaching Professor	Chemistry and Biochemistry		PhD	Brigham Young University	2004	
	271d5073b537937e09ae422bf30dddf4		Michaelis, David J.	Assistant Professor	Chemistry and Biochemistry		PhD	University of Wisconsin-Madison	2009	
	271d5073b537937e09ae422bf30dddf4		Patterson, James E.	Associate Professor	Chemistry and Biochemistry		PhD	University of Illinois at Urbana-Champaign	2004	
	271d5073b537937e09ae422bf30dddf4		Peterson, Matt A.	Associate Professor	Chemistry and Biochemistry		PhD	University of Arizona	1992	
	271d5073b537937e09ae422bf30dddf4		Price, John C.	Assistant Professor	Chemistry and Biochemistry		PhD	Pennsylvania State University	2005	
	271d5073b537937e09ae422bf30dddf4		Price, Joshua L.	Assistant Professor	Chemistry and Biochemistry		PhD	University of Wisconsin, Madison	2008	
	271d5073b537937e09ae422bf30dddf4		Savage, Paul B.	Professor	Chemistry and Biochemistry		PhD	University of Wisconsin	1993	
	271d5073b537937e09ae422bf30dddf4		Sevy, Eric T.	Associate Professor	Chemistry and Biochemistry		PhD	Columbia University	1999	
	271d5073b537937e09ae422bf30dddf4		Simmons, Daniel L.	Professor	Chemistry and Biochemistry		PhD	University of Wisconsin, Madison	1986	
	271d5073b537937e09ae422bf30dddf4		Stowers, Kara J.	Assistant Professor	Chemistry and Biochemistry		PhD	University of Michigan	2012	
	271d5073b537937e09ae422bf30dddf4		Watt, Richard K.	Associate Professor	Chemistry and Biochemistry		PhD	University of Wisconsin, Madison	1998	
	271d5073b537937e09ae422bf30dddf4		Willardson, Barry M.	Professor	Chemistry and Biochemistry		PhD	Purdue University	1990	
	271d5073b537937e09ae422bf30dddf4		Woodfield, Brian F.	Professor	Chemistry and Biochemistry		PhD	University of California, Berkeley	1994	
	271d5073b537937e09ae422bf30dddf4		Woolley, Adam T.	Professor	Chemistry and Biochemistry		PhD	University of California, Berkeley	1997	
	e01a1c92f6b1d04d55b9b8469b2ec158		Ames, Daniel P.	Associate Professor	Civil and Environmental Engineering		PhD	Utah State University	2002	
	e01a1c92f6b1d04d55b9b8469b2ec158		Balling, Richard J.	Professor	Civil and Environmental Engineering		PhD	University of California, Berkeley	1982	
	e01a1c92f6b1d04d55b9b8469b2ec158		Borup, M. Brett	Associate Professor	Civil and Environmental Engineering		PhD	Clemson University	1985	
	e01a1c92f6b1d04d55b9b8469b2ec158		Fonseca, Fernando S.	Associate Professor	Civil and Environmental Engineering		PhD	University of Illinois	1997	
	e01a1c92f6b1d04d55b9b8469b2ec158		Franke, Kevin W.	Assistant Professor	Civil and Environmental Engineering		PhD	Brigham Young University	2011	
	e01a1c92f6b1d04d55b9b8469b2ec158		Guthrie, W. Spencer	Associate Professor	Civil and Environmental Engineering		PhD	Texas A&M University	2002	
	e01a1c92f6b1d04d55b9b8469b2ec158		Hotchkiss, Rollin H.	Professor	Civil and Environmental Engineering		PhD	University of Minnesota	1989	
	e01a1c92f6b1d04d55b9b8469b2ec158		Jensen, David W.	Professor	Civil and Environmental Engineering		PhD	Massachusetts Institute of Technology	1986	
	e01a1c92f6b1d04d55b9b8469b2ec158		Jones, Norman L.	Professor	Civil and Environmental Engineering		PhD	University of Texas, Austin	1990	
	e01a1c92f6b1d04d55b9b8469b2ec158		Miller, A. Woodruff	Professor	Civil and Environmental Engineering		PhD	Stanford University	1975	
	e01a1c92f6b1d04d55b9b8469b2ec158		Nelson, E. James	Professor	Civil and Environmental Engineering		PhD	Brigham Young University	1994	
	e01a1c92f6b1d04d55b9b8469b2ec158		Richards, Paul W.	Associate Professor	Civil and Environmental Engineering		PhD	University of California, San Diego	2004	
	e01a1c92f6b1d04d55b9b8469b2ec158		Rollins, Kyle M.	Professor	Civil and Environmental Engineering		PhD	University of California, Berkeley	1987	
	e01a1c92f6b1d04d55b9b8469b2ec158		Saito, Mitsuru	Professor	Civil and Environmental Engineering		PhD	Purdue University	1988	
	e01a1c92f6b1d04d55b9b8469b2ec158		Schultz, Grant G.	Associate Professor	Civil and Environmental Engineering		PhD	Texas A&M University	2003	
	e01a1c92f6b1d04d55b9b8469b2ec158		Scott, Michael Andrew	Assistant Professor	Civil and Environmental Engineering		PhD	The University of Texas at Austin	2011	
	e01a1c92f6b1d04d55b9b8469b2ec158		Williams, Gustavious P.	Associate Professor	Civil and Environmental Engineering		PhD	Northwestern University	1994	
	b0be54f3c57f815da1fb6f745f84203e		Brinton, Bonnie	Professor	Communication Disorders		PhD	University of Utah	1981	
	b0be54f3c57f815da1fb6f745f84203e		Channell, Ron W.	Associate Professor	Communication Disorders		PhD	University of Utah	1983	
	b0be54f3c57f815da1fb6f745f84203e		Culatta, Barbara	Professor	Communication Disorders		PhD	University of Pittsburgh	1975	
	b0be54f3c57f815da1fb6f745f84203e		Dromey, Christopher	Professor	Communication Disorders		PhD	University of Colorado	1995	
	b0be54f3c57f815da1fb6f745f84203e		Fujiki, Martin	Professor	Communication Disorders		PhD	University of Utah	1980	
	b0be54f3c57f815da1fb6f745f84203e		Harris, Richard W.	Professor	Communication Disorders		PhD	Purdue University	1978	
	b0be54f3c57f815da1fb6f745f84203e		McPherson, David L.	Professor	Communication Disorders		PhD	University of Washington	1972	
	b0be54f3c57f815da1fb6f745f84203e		Nissen, Shawn L.	Associate Professor	Communication Disorders		PhD	Ohio State University	2003	
	b0be54f3c57f815da1fb6f745f84203e		Tanner, Kristine	Assistant Professor	Communication Disorders		PhD	University of Utah	2005	
	f54a914ca5442d0817586b39ed9891ce		Adams, Edward E.	Professor	Communications		PhD	Ohio University	1993	
	f54a914ca5442d0817586b39ed9891ce		Boyle, Kristoffer	Assistant Professor	Communications		PhD	Texas Tech University	2008	
	f54a914ca5442d0817586b39ed9891ce		Brubaker, Pamela	Assistant Professor	Communications		PhD	Pennsylvania State University	2012	
	f54a914ca5442d0817586b39ed9891ce		Callahan, Loy Clark	Associate Professor	Communications		PhD	University of Oklahoma	2002	
	f54a914ca5442d0817586b39ed9891ce		Callister, Mark A.	Associate Professor	Communications		PhD	University of Arizona	1997	
	f54a914ca5442d0817586b39ed9891ce		Carter, Edward L.	Professor	Communications		JD	Brigham Young University	2003	
	f54a914ca5442d0817586b39ed9891ce		Church, Scott	Assistant Professor	Communications		PhD	University of Nebraska, Lincoln	2013	
	f54a914ca5442d0817586b39ed9891ce		Cressman, Dale L.	Associate Professor	Communications		PhD	University of Utah	2003	
	f54a914ca5442d0817586b39ed9891ce		Cutri, Christopher	Associate Professor	Communications		MFA	Art Center College of Design	1997	
	f54a914ca5442d0817586b39ed9891ce		Davies, John J.	Assistant Professor	Communications		PhD	University of Alabama	2004	
	f54a914ca5442d0817586b39ed9891ce		John, Kevin	Assistant Professor	Communications		PhD	University of Utah	2015	
	f54a914ca5442d0817586b39ed9891ce		Plowman, Kenneth	Associate Professor	Communications		PhD	University of Maryland	1995	
	f54a914ca5442d0817586b39ed9891ce		Randle, Quint B.	Associate Professor	Communications		PhD	Michigan State University	2001	
	f54a914ca5442d0817586b39ed9891ce		Robinson, Thomas E.	Professor	Communications		PhD	University of Southern Mississippi	1996	
	f54a914ca5442d0817586b39ed9891ce		Thomsen, Steven R.	Professor	Communications		PhD	University of Georgia	1994	
	f54a914ca5442d0817586b39ed9891ce		Wakefield, Robert I.	Associate Professor	Communications		PhD	University of Maryland	1997	
	f54a914ca5442d0817586b39ed9891ce		Wilson, Christopher	Assistant Professor	Communications		PhD	University of Florida	2014	
	840ab5046f2876f3810ec6bf46433529		Ancell, Matthew	Assistant Professor	Comparative Arts and Letters		PhD	University of California, Irvine	2007	
	840ab5046f2876f3810ec6bf46433529		Bay, Stephen M.	Associate Professor	Comparative Arts and Letters		PhD	University of Illinois, Urbana-Champaign	2006	
	840ab5046f2876f3810ec6bf46433529		Benfell, V. Stanley	Professor	Comparative Arts and Letters		PhD	New York University	1994	
	840ab5046f2876f3810ec6bf46433529		Call, Michael Josiah	Assistant Professor	Comparative Arts and Letters		PhD	Yale University	2007	
	840ab5046f2876f3810ec6bf46433529		Christenson, Allen J.	Professor	Comparative Arts and Letters		PhD	University of Texas, Austin	1998	
	840ab5046f2876f3810ec6bf46433529		Colson, Robert L.	Assistant Professor	Comparative Arts and Letters		PhD	University of California, Irvine	2010	
	840ab5046f2876f3810ec6bf46433529		Handley, George B.	Professor	Comparative Arts and Letters		PhD	University of California, Berkeley	1995	
	840ab5046f2876f3810ec6bf46433529		Kramer, T. Nathaniel	Associate Professor	Comparative Arts and Letters		PhD	University of California, Los Angeles	2004	
	840ab5046f2876f3810ec6bf46433529		Lawson, Francesca	Associate Professor	Comparative Arts and Letters		PhD	University of Washington	1988	
	840ab5046f2876f3810ec6bf46433529		Macfarlane, Roger T.	Associate Professor	Comparative Arts and Letters		PHD	University of Michigan	1991	
	840ab5046f2876f3810ec6bf46433529		Oscarson, Christopher	Associate Professor	Comparative Arts and Letters		PhD	University of California, Berkeley	2006	
	840ab5046f2876f3810ec6bf46433529		Parry, Joseph D.	Professor	Comparative Arts and Letters		PhD	University of Utah	1995	
	840ab5046f2876f3810ec6bf46433529		Peek, Cecilia M.	Associate Professor	Comparative Arts and Letters		PhD	University of California, Berkeley	2000	
	840ab5046f2876f3810ec6bf46433529		Peer, Larry H.	Professor	Comparative Arts and Letters		PhD	University of Maryland, College Park	1969	
	840ab5046f2876f3810ec6bf46433529		Sederholm, Carl H.	Associate Professor	Comparative Arts and Letters		PhD	University of Utah	2002	
	840ab5046f2876f3810ec6bf46433529		Sondrup, Steven P.	Professor	Comparative Arts and Letters		PhD	Harvard University	1974	
	840ab5046f2876f3810ec6bf46433529		Soper, Kerry D.	Associate Professor	Comparative Arts and Letters		PhD	Emory University	1998	
	840ab5046f2876f3810ec6bf46433529		Stanford, Charlotte	Associate Professor	Comparative Arts and Letters		PhD	Pennsylvania State University	2003	
	2c640535afad7c6b5d0429aed278eb03		Adams, R. Brent	Professor	Computer Science		MFA	University of Utah	1992	
	2c640535afad7c6b5d0429aed278eb03		Barrett, William A.	Professor	Computer Science		PhD	University of Utah	1978	
	2c640535afad7c6b5d0429aed278eb03		Burton, Robert P.	Professor	Computer Science		PhD	University of Utah	1973	
	2c640535afad7c6b5d0429aed278eb03		Clement, Mark J.	Professor	Computer Science		PhD	Oregon State University	1994	
	2c640535afad7c6b5d0429aed278eb03		Egbert, Parris K.	Professor	Computer Science		PhD	University of Illinois	1992	
	2c640535afad7c6b5d0429aed278eb03		Farrell, Ryan	Assistant Professor	Computer Science		PhD	University of Maryland	2011	
	2c640535afad7c6b5d0429aed278eb03		Flanagan, J. Kelly	Professor	Computer Science		PhD	Brigham Young University	1993	
	2c640535afad7c6b5d0429aed278eb03		Giraud-Carrier, Christophe G.	Associate Professor	Computer Science		PhD	Brigham Young University	1994	
	2c640535afad7c6b5d0429aed278eb03		Goodrich, Michael A.	Professor	Computer Science		PhD	Brigham Young University	1996	
	2c640535afad7c6b5d0429aed278eb03		Holladay, Seth	Assistant Professor	Computer Science		PhD	Brigham Young University	2013	
	2c640535afad7c6b5d0429aed278eb03		Jones, Michael D.	Associate Professor	Computer Science		PhD	University of Utah	2001	
	2c640535afad7c6b5d0429aed278eb03		Martinez, Tony	Professor	Computer Science		PhD	University of California, Los Angeles	1986	
	2c640535afad7c6b5d0429aed278eb03		Mercer, Eric G.	Associate Professor	Computer Science		PhD	University of Utah	2002	
	2c640535afad7c6b5d0429aed278eb03		Morse, Bryan S.	Professor	Computer Science		PhD	University of North Carolina	1994	
	2c640535afad7c6b5d0429aed278eb03		Ng, Dennis	Associate Professor	Computer Science		PhD	Kansas State University	1991	
	2c640535afad7c6b5d0429aed278eb03		Ringger, Eric K.	Associate Professor	Computer Science		PhD	University of Rochester	2000	
	2c640535afad7c6b5d0429aed278eb03		Seamons, Kent E.	Associate Professor	Computer Science		PhD	University of Illinois	1996	
	2c640535afad7c6b5d0429aed278eb03		Sederberg, Thomas W.	Professor	Computer Science		PhD	Purdue University	1983	
	2c640535afad7c6b5d0429aed278eb03		Seppi, Kevin	Professor	Computer Science		PhD	University of Texas	1990	
	2c640535afad7c6b5d0429aed278eb03		Snell, Quinn O.	Professor	Computer Science		PhD	Iowa State University	1997	
	2c640535afad7c6b5d0429aed278eb03		Ventura, Dan	Professor	Computer Science		PhD	Brigham Young University	1998	
	2c640535afad7c6b5d0429aed278eb03		Warnick, Sean C.	Associate Professor	Computer Science		PhD	Massachusetts Institute of Technology	2003	
	2c640535afad7c6b5d0429aed278eb03		Zappala, Daniel M. A.	Associate Professor	Computer Science		PhD	University of Southern California	1990	
	30f91fe9d8d31a5e4fc451d290e6180e		Allen, G.E. Kawika	Assistant Professor	Counseling Psychology and Special Education		PhD	University of Missouri Columbia	2011	
	30f91fe9d8d31a5e4fc451d290e6180e		Beecher, Mark E.	Clinical Professor	Counseling Psychology and Special Education		PhD	Brigham Young University	1998	
	30f91fe9d8d31a5e4fc451d290e6180e		Caldarella, Paul	Associate Professor	Counseling Psychology and Special Education		PhD	Utah State University	1998	
	30f91fe9d8d31a5e4fc451d290e6180e		Dyches, Tina T.	Professor	Counseling Psychology and Special Education		EdD	Illinois State University	1995	
	30f91fe9d8d31a5e4fc451d290e6180e		Fischer, Lane	Associate Professor	Counseling Psychology and Special Education		PhD	University of Minnesota	1991	
	30f91fe9d8d31a5e4fc451d290e6180e		Gabrielsen, Terisa	Assistant Professor	Counseling Psychology and Special Education		PhD	University of Utah	2012	
	30f91fe9d8d31a5e4fc451d290e6180e		Gibb, Gordon S.	Associate Professor	Counseling Psychology and Special Education		PhD	University of Utah	1994	
	30f91fe9d8d31a5e4fc451d290e6180e		Gleave, Robert L.	Clinical Professor	Counseling Psychology and Special Education		PhD	Brigham Young University	1981	
	30f91fe9d8d31a5e4fc451d290e6180e		Griner, Derek	Assistant Clinical Professor	Counseling Psychology and Special Education		PhD	Brigham Young University	2008	
	30f91fe9d8d31a5e4fc451d290e6180e		Hansen, Blake	Assistant Professor	Counseling Psychology and Special Education		PhD	University of Kansas	2010	
	30f91fe9d8d31a5e4fc451d290e6180e		Heath, Melissa Allen	Associate Professor	Counseling Psychology and Special Education		PhD	Texas A&M University	1996	
	30f91fe9d8d31a5e4fc451d290e6180e		Jackson, Aaron P.	Associate Professor	Counseling Psychology and Special Education		PhD	University of Missouri, Columbia	1993	
	30f91fe9d8d31a5e4fc451d290e6180e		Kellems, Ryan	Assistant Professor	Counseling Psychology and Special Education		PhD	University of Kansas	2011	
	30f91fe9d8d31a5e4fc451d290e6180e		Knestel, Andrea	Assistant Clinical Professor	Counseling Psychology and Special Education		PhD	Syracuse University	2010	
	30f91fe9d8d31a5e4fc451d290e6180e		Prater, Mary Anne	Professor	Counseling Psychology and Special Education		PhD	Utah State University	1987	
	30f91fe9d8d31a5e4fc451d290e6180e		Richards, P. Scott	Professor	Counseling Psychology and Special Education		PhD	University of Minnesota	1988	
