college-stub	department-stub	program-stub	department-name	min-credit-hours	max-credit-hours	course-description	course-number	course-name	course-url
management	school-of-accountancy	financial-accounting-2	School of Accountancy	4	4	Accounting for receivables and inventory. Major reporting issues associated with liabilities and stockholder's equity. Introduction to computing basic and diluted earnings per share.	ACC 404	Financial Accounting 2	/management/school-of-accountancy/financial-accounting-2
management	school-of-accountancy	fundamentals-of-taxation	School of Accountancy	4	4	Tax principles applicable to business entities and individuals; tax compliance issues; tax planning as part of overall strategic planning process for businesses and individuals.	ACC 405	Fundamentals of Taxation	/management/school-of-accountancy/fundamentals-of-taxation
management	school-of-accountancy	financial-statement-auditing	School of Accountancy	4	4	Introduction to framework providing financial statement assurance; integrating accounting and business knowledge with concepts from other disciplines such as statistics and law; framework applied to major business cycles, providing specific...	ACC 406	Financial Statement Auditing	/management/school-of-accountancy/financial-statement-auditing
management	school-of-accountancy	corporate-financial-reporting	School of Accountancy	3	3	Accounting principles of corporate financial reporting. Judgments managers make preparing financial statement information. How complexities, alternatives, and impacts affect completed financial statements.	ACC 440	Corporate Financial Reporting	/management/school-of-accountancy/corporate-financial-reporting
management	school-of-accountancy	money-financial-system-and-economy	School of Accountancy	3	3	Applications of industry analysis and microeconomic principles in the macroeconomic environment that influences individuals and financial intermediaries that transact in money and credit markets.	ACC 453	Money, the Financial System, and the Economy	/management/school-of-accountancy/money-financial-system-and-economy
management	school-of-accountancy	advanced-financial-accounting	School of Accountancy	3	3	Advanced financial accounting topics including pensions, earnings per share, accounting changes, and deferred income taxes.	ACC 503	Advanced Financial Accounting	/management/school-of-accountancy/advanced-financial-accounting
management	school-of-accountancy	accounting-research-seminar	School of Accountancy	3	3	Professional standards and professional literature of accounting and auditing; related academic research. Research tools, information technologies, and critical analysis emphasized.	ACC 515	Accounting Research Seminar	/management/school-of-accountancy/accounting-research-seminar
management	school-of-accountancy	introduction-academic-research	School of Accountancy	3	3	Fundamentals of academic research, including the scientific method, the philosophy of science, and the areas and methodologies of academic research.	ACC 516	Introduction to Academic Research	/management/school-of-accountancy/introduction-academic-research
management	school-of-accountancy	academic-archival-research-design	School of Accountancy	1	1	Accounting research using archival methodologies. Focus on reading, interpreting, critiquing, and designing archival research. Designed for those planning to enter a PhD program.	ACC 517	Academic Archival Research Design	/management/school-of-accountancy/academic-archival-research-design
management	school-of-accountancy	academic-experimental-research-design	School of Accountancy	1	1	In-depth study of accounting research using experimental methodologies. Focus on reading, interpreting, critiquing, and designing experimental research. Designed for those planning to enter a PhD program.	ACC 518	Academic Experimental Research Design	/management/school-of-accountancy/academic-experimental-research-design
management	school-of-accountancy	advanced-taxation	School of Accountancy	3	3	Tax laws as they apply to selected tax entities, with an introduction to tax research methodology.	ACC 522	Advanced Taxation	/management/school-of-accountancy/advanced-taxation
management	school-of-accountancy	tax-research-methodology	School of Accountancy	3	3	In-depth treatment of research and procedures emphasizing communication and presentation of findings.	ACC 523	Tax Research Methodology	/management/school-of-accountancy/tax-research-methodology
management	school-of-accountancy	accounting-information-systems-risk-and-control	School of Accountancy	3	3	Understanding the risks involved in accounting information systems and the proper design, documentation, and validation of mitigating controls. Theory and application.	ACC 525	Accounting Information Systems Risk and Control	/management/school-of-accountancy/accounting-information-systems-risk-and-control
management	school-of-accountancy	advanced-financial-statement-auditing	School of Accountancy	3	3	Accounting methodology, professional auditing standards, and current issues.	ACC 530	Advanced Financial Statement Auditing	/management/school-of-accountancy/advanced-financial-statement-auditing
management	school-of-accountancy	advanced-management-accounting	School of Accountancy	1.5	1.5	Advanced concepts, including the role of accounting in strategic and operational decision-making.	ACC 531	Advanced Management Accounting	/management/school-of-accountancy/advanced-management-accounting
management	school-of-accountancy	advanced-professional-financial-accounting	School of Accountancy	3	3	Advanced financial accounting topics including pensions, earnings per share, accounting changes, and deferred income taxes.	ACC 540	Advanced Professional Financial Accounting	/management/school-of-accountancy/advanced-professional-financial-accounting
management	school-of-accountancy	financial-statement-analysis	School of Accountancy	1.5	1.5	Analysis of financial statements and the accompanying footnotes. How various accounting methods might affect interpretation and use of financial information.	ACC 541	Financial Statement Analysis	/management/school-of-accountancy/financial-statement-analysis
management	school-of-accountancy	fair-value-and-other-measurements-accounting	School of Accountancy	3	3	Case-based course that examines theoretical and practical issues surrounding fair value and other measurement issues. Focuses on techniques used in practice for measuring financial instruments, acquisitions, revenue recognition, and asset...	ACC 542	Fair Value and Other Measurements in Accounting	/management/school-of-accountancy/fair-value-and-other-measurements-accounting
management	school-of-accountancy	international-accounting-and-multinational-enterprises	School of Accountancy	3	3	Accounting from an international perspective: flow of information in multiple currencies, complying with reporting requirements, setting budgets and monitoring performance, and controlling corporate assets through reports and audits.	ACC 545	International Accounting and Multinational Enterprises	/management/school-of-accountancy/international-accounting-and-multinational-enterprises
management	school-of-accountancy	fraud-prevention-and-detection	School of Accountancy	3	3	Fraud prevention, detection, investigation, issues, and methodology. Examination of past frauds with hands-on cases and computer exercises to identify increased fraud risk, interrogate data, and design prevention and detection controls.	ACC 550	Fraud Prevention and Detection	/management/school-of-accountancy/fraud-prevention-and-detection
management	school-of-accountancy	data-communications-and-security	School of Accountancy	3	3	Principles of data communication and security, local- and wide-area networks, hardware, software, infrastructure, standards, policies, baseline security, web security, cryptography, operations, and security management.	ACC 555	Data Communications and Security	/management/school-of-accountancy/data-communications-and-security
management	school-of-accountancy	database-analysis-and-design	School of Accountancy	3	3	Concepts and techniques of database system development. Focal areas include: structures, integrity, retrieval, manipulation, validation, and analysis. SQL used as basis for data interrogation.	ACC 556	Database Analysis and Design	/management/school-of-accountancy/database-analysis-and-design
management	school-of-accountancy	management-consulting-and-projects	School of Accountancy	3	3	Projects-oriented course where students get hands-on experience performing consulting jobs for businesses in Utah. Class includes both in-class instruction and business experience.	ACC 557	Management Consulting and Projects	/management/school-of-accountancy/management-consulting-and-projects
management	school-of-accountancy	special-problems-federal-taxation	School of Accountancy	3	3	Special property transactions, accounting periods and methods, tax payments and credit, tax concepts, and reporting tax liability.	ACC 560	Special Problems in Federal Taxation	/management/school-of-accountancy/special-problems-federal-taxation
management	school-of-accountancy	corporate-taxation-1	School of Accountancy	3	3	Federal income taxation of corporations and shareholders.	ACC 561	Corporate Taxation 1	/management/school-of-accountancy/corporate-taxation-1
management	school-of-accountancy	corporate-taxation-2	School of Accountancy	3	3	Continuation of Corporate Taxation 1. Includes consolidated returns.	ACC 562	Corporate Taxation 2	/management/school-of-accountancy/corporate-taxation-2
management	school-of-accountancy	taxation-of-partnerships	School of Accountancy	3	3	Federal income taxation of general and limited partnerships and partners.	ACC 563	Taxation of Partnerships	/management/school-of-accountancy/taxation-of-partnerships
management	school-of-accountancy	taxation-of-estates-gifts-and-fiduciaries	School of Accountancy	3	3	Federal taxation of property transferred by death and gift; federal taxation of income of trusts and estates.	ACC 564	Taxation of Estates, Gifts, and Fiduciaries	/management/school-of-accountancy/taxation-of-estates-gifts-and-fiduciaries
management	school-of-accountancy	current-tax-policy	School of Accountancy	3	3	Intensive study of special and current tax topics and policies.	ACC 565R	Current Tax Policy	/management/school-of-accountancy/current-tax-policy
management	school-of-accountancy	tax-accounting-methods-and-accounting-income-taxes	School of Accountancy	3	3	Accounting periods and methods, corporate income taxation, and accounting for income taxes under ASC 740.	ACC 566	Tax Accounting Methods and Accounting for Income Taxes	/management/school-of-accountancy/tax-accounting-methods-and-accounting-income-taxes
management	school-of-accountancy	taxation-of-foreign-income	School of Accountancy	3	3	Federal taxation of foreign transactions.	ACC 568	Taxation of Foreign Income	/management/school-of-accountancy/taxation-of-foreign-income
management	school-of-accountancy	readings-and-conference	School of Accountancy	3	3	In-depth study one-on-one with chosen professor on topic of mutual interest not currently covered in existing courses.	ACC 591R	Readings and Conference	/management/school-of-accountancy/readings-and-conference
management	school-of-accountancy	academic-internship-accounting	School of Accountancy	3	3	On-the-job experience and training in industry, government, or public accounting firms.	ACC 599R	Academic Internship: Accounting	/management/school-of-accountancy/academic-internship-accounting
management	aerospace-studies	leadership-laboratory-freshmen	Aerospace Studies	0.5	0.5	Basic fundamentals of military leadership--drill, courtesy, planning, and organizing at various levels of responsibility.	AEROS 100	Leadership Laboratory--Freshmen	/management/aerospace-studies/leadership-laboratory-freshmen
management	aerospace-studies	leadership-laboratory-freshmen-0	Aerospace Studies	0.5	0.5	Basic fundamentals of military leadership--drill, courtesy, planning, and organizing at various levels of responsibility.	AEROS 101	Leadership Laboratory--Freshmen	/management/aerospace-studies/leadership-laboratory-freshmen-0
management	aerospace-studies	air-force-today	Aerospace Studies	1	1	Development, organization, and core values of the U.S. Air Force, emphasizing the foundations of officership.	AEROS 110	The Air Force Today	/management/aerospace-studies/air-force-today
management	aerospace-studies	aerospace-defense-general-purpose-and-support-forces	Aerospace Studies	1	1	U.S. Air Force Major Command structure and the origins of the Air Force.	AEROS 111	Aerospace Defense, General Purpose, and Support Forces	/management/aerospace-studies/aerospace-defense-general-purpose-and-support-forces
management	aerospace-studies	leadership-laboratory-sophomores	Aerospace Studies	0.5	0.5	As listed for Aeros 100/101. Increased emphasis on performance level.	AEROS 200	Leadership Laboratory--Sophomores	/management/aerospace-studies/leadership-laboratory-sophomores
management	aerospace-studies	leadership-laboratory-sophomores-0	Aerospace Studies	0.5	0.5	As listed for Aeros 100/101. Increased emphasis on performance level.	AEROS 201	Leadership Laboratory--Sophomores	/management/aerospace-studies/leadership-laboratory-sophomores-0
management	aerospace-studies	developmental-growth-of-air-power	Aerospace Studies	1	1	Development of various concepts of air power employment, emphasizing factors that have prompted research and technological change through the early 1960's.	AEROS 210	The Developmental Growth of Air Power	/management/aerospace-studies/developmental-growth-of-air-power
management	aerospace-studies	developmental-growth-of-air-power-0	Aerospace Studies	1	1	Development of various concepts of air power employment, emphasizing factors that have prompted research and technological change from Vietnam to the present.	AEROS 211	The Developmental Growth of Air Power	/management/aerospace-studies/developmental-growth-of-air-power-0
management	aerospace-studies	leadership-laboratory-juniors	Aerospace Studies	0.5	0.5	As listed for Aeros 100/101. Students perform as cadet officers. Emphasis on leadership development.	AEROS 300	Leadership Laboratory--Juniors	/management/aerospace-studies/leadership-laboratory-juniors
management	aerospace-studies	leadership-laboratory-juniors-0	Aerospace Studies	0.5	0.5	As listed for Aeros 100/101. Students perform as cadet officers. Emphasis on leadership development.	AEROS 301	Leadership Laboratory--Juniors	/management/aerospace-studies/leadership-laboratory-juniors-0
management	aerospace-studies	leadership-laboratory-honor-guard	Aerospace Studies	2	2	Fundamentals of military leadership and M-1 rifle drill; emphasizes need for response to vested authority, with opportunity to develop confidence, military bearing, and other interpersonal skills; students perform as cadet leaders.	AEROS 305R	Leadership Laboratory--Honor Guard	/management/aerospace-studies/leadership-laboratory-honor-guard
management	aerospace-studies	management-and-leadership	Aerospace Studies	3	3	Writing, speaking, and listening as communication skills; management concepts; responsibilities and ethics for an Air Force junior officer.	AEROS 310	Management and Leadership	/management/aerospace-studies/management-and-leadership
management	aerospace-studies	management-and-leadership-0	Aerospace Studies	3	3	Principles of leadership, problem solving, decisions, discipline, and human relations. Emphasis on career planning as an Air Force junior officer.	AEROS 311	Management and Leadership	/management/aerospace-studies/management-and-leadership-0
management	aerospace-studies	academic-internship-leadership-intern-program	Aerospace Studies	4	4	Air Force ROTC field leadership training course. Provides advanced fundamentals of military leadership, planning, organizing, and team building at various levels of responsibility.	AEROS 399R	Academic Internship: Leadership Intern Program	/management/aerospace-studies/academic-internship-leadership-intern-program
management	aerospace-studies	leadership-laboratory-seniors	Aerospace Studies	0.5	0.5	As listed for Aeros 100/101. Senior cadets perform in leadership positions in planning and conducting all activities of the cadet corps.	AEROS 400R	Leadership Laboratory--Seniors	/management/aerospace-studies/leadership-laboratory-seniors
management	aerospace-studies	leadership-laboratory-seniors-0	Aerospace Studies	0.5	0.5	As listed for Aeros 100/101. Senior cadets perform in leadership positions in planning and conducting all activities of the cadet corps.	AEROS 401R	Leadership Laboratory--Seniors	/management/aerospace-studies/leadership-laboratory-seniors-0
management	aerospace-studies	national-security-affairs	Aerospace Studies	3	3	Civilian control of military, civil-military interaction, the forming of defense strategy. Military profession; Russia, Europe, and East Asia regional studies.	AEROS 410	National Security Affairs	/management/aerospace-studies/national-security-affairs
management	aerospace-studies	national-security-affairs-0	Aerospace Studies	3	3	Africa, Middle East, and Latin American regional studies; military operation other than war; military justice system; officer professional development.	AEROS 411	National Security Affairs	/management/aerospace-studies/national-security-affairs-0
humanities	center-language-studies	first-year-afrikaans	Center for Language Studies	4	4	Basic language skills.	AFRIK 101	First-Year Afrikaans	/humanities/center-language-studies/first-year-afrikaans
humanities	center-language-studies	first-year-afrikaans-0	Center for Language Studies	4	4	Basic language skills.	AFRIK 102	First-Year Afrikaans	/humanities/center-language-studies/first-year-afrikaans-0
humanities	center-language-studies	second-year-afrikaans	Center for Language Studies	4	4	Conversation, vocabulary building, and reading and writing skills, emphasizing reading.	AFRIK 201	Second-Year Afrikaans	/humanities/center-language-studies/second-year-afrikaans
humanities	center-language-studies	second-year-afrikaans-0	Center for Language Studies	4	4	Emphasis on literature and culture with continued writing, grammar, listening, and speaking.	AFRIK 202	Second-Year Afrikaans	/humanities/center-language-studies/second-year-afrikaans-0
humanities	center-language-studies	second-year-conversation-1	Center for Language Studies	5	5	Intermediate listening comprehension and speaking skills.	AFRIK 211R	Second-Year Conversation	/humanities/center-language-studies/second-year-conversation-1
humanities	center-language-studies	third-year-conversation	Center for Language Studies	5	5	Advanced conversational skills.	AFRIK 311R	Third-Year Conversation	/humanities/center-language-studies/third-year-conversation
family-home-and-social-sciences		american-heritage-0	Family Home and Social Sciences	3	3	Synthesis of American constitutional and economic principles, and patterns of historical development.	A HTG 100	American Heritage	/family-home-and-social-sciences/american-heritage-0
family-home-and-social-sciences		honors-american-heritage	Family Home and Social Sciences	3	3	Synthesis of American constitutional and economic principles, and patterns of historical development	A HTG 100	Honors American Heritage	/family-home-and-social-sciences/honors-american-heritage
humanities	center-language-studies	first-year-american-sign-language-part-1	Center for Language Studies	4	4	First in a series of courses which focuses on acquiring basic ASL skills, both receptive and expressive. An introduction to the Deaf community and culture will be provided.	ASL 101	First-Year American Sign Language, Part 1	/humanities/center-language-studies/first-year-american-sign-language-part-1
humanities	center-language-studies	first-year-american-sign-language-part-2	Center for Language Studies	4	4	Second in a series of courses which focuses on acquiring basic ASL skills, both receptive and expressive. An introduction to the Deaf community and culture will be provided.	ASL 102	First-Year American Sign Language, Part 2	/humanities/center-language-studies/first-year-american-sign-language-part-2
humanities	center-language-studies	american-sign-language-fingerspelling	Center for Language Studies	2	2	Improve ability to comprehend and communicate using various ASL fingerspelling styles.	ASL 111	American Sign Language Fingerspelling	/humanities/center-language-studies/american-sign-language-fingerspelling
humanities	center-language-studies	american-sign-language-numbering	Center for Language Studies	2	2	Improve ability to comprehend and communicate using various ASL numbering styles.	ASL 112	American Sign Language Numbering	/humanities/center-language-studies/american-sign-language-numbering
humanities	center-language-studies	second-year-american-sign-language-part-1	Center for Language Studies	4	4	Third in a series of courses which focuses on developing intermediate ASL skills, both receptive and expressive. Increased focus on the role that ASL plays in the lives of the Deaf community.	ASL 201	Second-Year American Sign Language, Part 1	/humanities/center-language-studies/second-year-american-sign-language-part-1
humanities	center-language-studies	second-year-american-sign-language-part-2	Center for Language Studies	4	4	Fourth in a series of courses which focuses on developing intermediate ASL skills, both receptive and expressive. Increased focus on the role that ASL plays in the lives of the Deaf community.	ASL 202	Second-Year American Sign Language, Part 2	/humanities/center-language-studies/second-year-american-sign-language-part-2
humanities	center-language-studies	advanced-american-sign-language-and-culture	Center for Language Studies	4	4	Fifth in a series of five courses which aims to increase interpersonal, receptive, and presentational ASL skills in the context of society and culture of the Deaf community.	ASL 301	Advanced American Sign Language and Culture	/humanities/center-language-studies/advanced-american-sign-language-and-culture
humanities	center-language-studies	deaf-literature	Center for Language Studies	3	3	Various genres of Deaf literature. Introduction to analysis of ASL literary works.	ASL 302	Deaf Literature	/humanities/center-language-studies/deaf-literature
humanities	center-language-studies	interpreting-1	Center for Language Studies	4	4	Building basic interpreting skills. Code of Ethics, interpreting protocol, and interpreting issues.	ASL 431	Interpreting 1	/humanities/center-language-studies/interpreting-1
humanities	center-language-studies	introduction-american-sign-language-linguistics	Center for Language Studies	3	3	Designed for students who have acquired a good mastery of ASL. This course explores the dynamics of ASL linguistics, including basic simillarities between ASL and other languages.	ASL 431	Introduction to American Sign Language Linguistics	/humanities/center-language-studies/introduction-american-sign-language-linguistics
humanities	center-language-studies	exploration-of-american-sign-language-interpreting	Center for Language Studies	3	3	Students investigate ASL interpreting profession and related issues to include Code of Professional Conduct and interpreting protocol.	ASL 432	Exploration of American Sign Language Interpreting	/humanities/center-language-studies/exploration-of-american-sign-language-interpreting
humanities	american-studies-program	literature-and-cultures-of-american-west	American Studies Program	3	3	Literature and cultural representations of the American West and the frontier.	AM ST 300	Literature and Cultures of the American West	/humanities/american-studies-program/literature-and-cultures-of-american-west
humanities	american-studies-program	american-studies-history-and-theory	American Studies Program	3	3	Offers a historical, theoretical, and practical overview of the discipline of American Studies.	AM ST 303	American Studies History and Theory	/humanities/american-studies-program/american-studies-history-and-theory
humanities	american-studies-program	american-studies-methodologies-and-writing-practices	American Studies Program	3	3	Offers students a practical grounding in American Studies methodologies and approaches to writing.	AM ST 304	American Studies Methodologies and Writing Practices	/humanities/american-studies-program/american-studies-methodologies-and-writing-practices
humanities	american-studies-program	film-american-culture	American Studies Program	3	3	Selected readings, lectures, and analysis of specific motion pictures as social documents, reflecting different facets of the American experience.	AM ST 360	Film in American Culture	/humanities/american-studies-program/film-american-culture
humanities	american-studies-program	topics-american-studies	American Studies Program	3	3	Multidisciplinary study of a carefully defined problem in American culture. Topics vary.	AM ST 390R	Topics in American Studies	/humanities/american-studies-program/topics-american-studies
humanities	american-studies-program	american-studies-lecture-series-presentations-american	American Studies Program	1	1	Introduce research in American Studies and Western American Studies. Speakers from BYU and other institutions share their research. Students engage with lecturers by developing questions, then evaluate and write about ideas.	AM ST 392R	American Studies Lecture Series: Presentations on American Studies/Western American Studies	/humanities/american-studies-program/american-studies-lecture-series-presentations-american
humanities	american-studies-program	academic-internship	American Studies Program	6	6	Examining the American experience from a variety of standpoints. Honing skills in writing; literary criticism; historical research; and social, political, and economic analysis.	AM ST 399R	Academic Internship	/humanities/american-studies-program/academic-internship
humanities	american-studies-program	senior-capstone	American Studies Program	3	3	In-depth review of American Studies theories, methods, and criticism; content varies; requires original research and substantial writing of paper intended for publication.	AM ST 490	Senior Capstone	/humanities/american-studies-program/senior-capstone
international-and-area-studies	ancient-near-eastern-studies-program	introduction-ancient-near	Ancient Near Eastern Studies Program	3	3	Historical background, research skills, and methods of academic inquiry relevant to ancient Near Eastern Studies.	ANES 201	Introduction to Ancient Near Eastern Studies	/international-and-area-studies/ancient-near-eastern-studies-program/introduction-ancient-near
international-and-area-studies	ancient-near-eastern-studies-program	history-and-culture-of-ancient	Ancient Near Eastern Studies Program	3	3	Israelite history and culture in Canaan/Israel from c. 2000 B.C. to A.D. 200. Methodology for using the Bible in historical research.	ANES 310	History and Culture of Ancient Israel	/international-and-area-studies/ancient-near-eastern-studies-program/history-and-culture-of-ancient
international-and-area-studies	ancient-near-eastern-studies-program	readings-ancient-near-eastern	Ancient Near Eastern Studies Program	3	3	Reading and analysis of major ancient Near Eastern texts in English translation. Methodology for dealing with potential biblical parallels.	ANES 331	Readings in Ancient Near Eastern Texts to 330 B.C	/international-and-area-studies/ancient-near-eastern-studies-program/readings-ancient-near-eastern
international-and-area-studies	ancient-near-eastern-studies-program	readings-classical-near-eastern	Ancient Near Eastern Studies Program	3	3	Reading and analyzing major ancient Near Eastern texts in English translation. Methodology for dealing with potential biblical parallels.	ANES 332	Readings in Classical Near Eastern Texts	/international-and-area-studies/ancient-near-eastern-studies-program/readings-classical-near-eastern
international-and-area-studies	ancient-near-eastern-studies-program	archaeological-fieldwork-near	Ancient Near Eastern Studies Program	3	3	Archaeological fieldwork and corresponding field school activities in the Near East.	ANES 353R	Archaeological Fieldwork in the Near East	/international-and-area-studies/ancient-near-eastern-studies-program/archaeological-fieldwork-near
international-and-area-studies	ancient-near-eastern-studies-program	hebrew-bible-studies	Ancient Near Eastern Studies Program	3	3	Current analytical methods used in academic study and interpretation of the Hebrew Bible.	ANES 363	Hebrew Bible Studies	/international-and-area-studies/ancient-near-eastern-studies-program/hebrew-bible-studies
international-and-area-studies	ancient-near-eastern-studies-program	directed-readings-ancient-near	Ancient Near Eastern Studies Program	3	3	Directed individual study of historical topics or ancient texts.	ANES 390R	Directed Readings in Ancient Near Eastern Studies	/international-and-area-studies/ancient-near-eastern-studies-program/directed-readings-ancient-near
international-and-area-studies	ancient-near-eastern-studies-program	topics-ancient-near-eastern	Ancient Near Eastern Studies Program	3	3	Topical studies in the ancient Near East based on student interest and faculty expertise.	ANES 392R	Topics in Ancient Near Eastern Studies	/international-and-area-studies/ancient-near-eastern-studies-program/topics-ancient-near-eastern
international-and-area-studies	ancient-near-eastern-studies-program	advanced-topics-ancient-near	Ancient Near Eastern Studies Program	3	3	Seminar involving in-depth examination of an ancient Near Eastern topic and then writing about it.	ANES 430R	Advanced Topics in Ancient Near Eastern Studies	/international-and-area-studies/ancient-near-eastern-studies-program/advanced-topics-ancient-near
international-and-area-studies	ancient-near-eastern-studies-program	senior-seminar-ancient-near	Ancient Near Eastern Studies Program	3	3	Capstone seminar utilizing research, analytical, and writing skills to produce a senior research paper on an ancient Near Eastern topic.	ANES 495	Senior Seminar in Ancient Near Eastern Studies	/international-and-area-studies/ancient-near-eastern-studies-program/senior-seminar-ancient-near
family-home-and-social-sciences	anthropology	socialcultural-anthropology	Anthropology	3	3	Aspects of society and culture: kinship, beliefs, economy, and political order among peoples worldwide. Methods and perspectives used in social/cultural anthropology.	ANTHR 101	Social/Cultural Anthropology	/family-home-and-social-sciences/anthropology/socialcultural-anthropology
family-home-and-social-sciences	anthropology	archaeology-field-trip	Anthropology	1	1	Archaeology field trip to Four Corners.	ANTHR 103	Archaeology Field Trip	/family-home-and-social-sciences/anthropology/archaeology-field-trip
family-home-and-social-sciences	anthropology	anthropological-films	Anthropology	1	1	Examination of other cultures through ethnographic or archaeological film.	ANTHR 108R	Anthropological Films	/family-home-and-social-sciences/anthropology/anthropological-films
family-home-and-social-sciences	anthropology	honors-introduction-archaeology	Anthropology	3	3	Studying past human behaviors and cultures by applying scientific principles and reasoning; exploring case studies concerning archaeological discoveries.	ANTHR 110	Honors Introduction to Archaeology	/family-home-and-social-sciences/anthropology/honors-introduction-archaeology
family-home-and-social-sciences	anthropology	introduction-archaeology	Anthropology	3	3	Studying past human behaviors and cultures by applying scientific principles and reasoning; exploring case studies concerning archaeological discoveries.	ANTHR 110	Introduction to Archaeology	/family-home-and-social-sciences/anthropology/introduction-archaeology
family-home-and-social-sciences	anthropology	introduction-major	Anthropology	0.5	0.5	Overview of anthropology major and graduation requirements; preparing for senior thesis sequence; career opportunities; and graduate school application process.	ANTHR 150	Introduction to the Major	/family-home-and-social-sciences/anthropology/introduction-major
family-home-and-social-sciences	anthropology	foundations-of-social-theory	Anthropology	3	3	Theoretical and philosophical antecedents of modern social theory; ideas and theorists that shaped the formation of anthropology as a discipline.	ANTHR 201	Foundations of Social Theory	/family-home-and-social-sciences/anthropology/foundations-of-social-theory
family-home-and-social-sciences	anthropology	foundations-of-anthropological-theory	Anthropology	3	3	Ideas from the founders of social and cultural anthropology and archaeology as disciplines, particularly at the turn of the 20th century.	ANTHR 202	Foundations of Anthropological Theory	/family-home-and-social-sciences/anthropology/foundations-of-anthropological-theory
family-home-and-social-sciences	anthropology	contemporary-theory	Anthropology	3	3	Important current theoretical frameworks in anthropology.	ANTHR 203	Contemporary Theory	/family-home-and-social-sciences/anthropology/contemporary-theory
family-home-and-social-sciences	anthropology	experiments-ancient-technology	Anthropology	3	3	Processes by which tools and other objects were produced anciently; experimental reproduction and use of ancient tools and their scientific analysis..	ANTHR 207	Experiments in Ancient Technology	/family-home-and-social-sciences/anthropology/experiments-ancient-technology
family-home-and-social-sciences	anthropology	introduction-archaeology-method-and-theory	Anthropology	3	3	Field and analytic methods and their relevance to data acquisition; use of theory and the relation of theory to methods.	ANTHR 215	Introduction to Archaeology: Method and Theory	/family-home-and-social-sciences/anthropology/introduction-archaeology-method-and-theory
family-home-and-social-sciences	anthropology	biological-anthropology	Anthropology	3	3	Relationships between human biology, environment, social structure, and culture. Concepts and data on race, primates, evolution, population genetics, growth, and sociobiology.	ANTHR 300	Biological Anthropology	/family-home-and-social-sciences/anthropology/biological-anthropology
family-home-and-social-sciences	anthropology	human-osteology	Anthropology	2	2	Identification and treatment of skeletal material found in archaeological excavations.	ANTHR 301	Human Osteology	/family-home-and-social-sciences/anthropology/human-osteology
family-home-and-social-sciences	anthropology	language-culture-and-society	Anthropology	3	3	Linguistic anthropology as a way of doing ethnography; language as symbolic form, vehicle of thought, and instrument of social interaction; speech events as cultural texts.	ANTHR 309	Language, Culture, and Society	/family-home-and-social-sciences/anthropology/language-culture-and-society
family-home-and-social-sciences	anthropology	museums-and-cultures	Anthropology	3	3	Role of museums in society. Analyzing museum content, use, and sociology. Visits to and critiques of area museums. Final projects with real museums in the region.	ANTHR 311	Museums and Cultures	/family-home-and-social-sciences/anthropology/museums-and-cultures
