college-stub	department-stub	faculty-stub	faculty-name	faculty-rank	department-name	faculty-url	faculty-degree	faculty-school	faculty-degree-year	faculty-discipline
engineering-and-technology	civil-and-environmental-engineering	daniel-p-ames	Daniel P Ames	Associate Professor	Civil and Environmental Engineering	/engineering-and-technology/civil-and-environmental-engineering/daniel-p-ames				
humanities	comparative-arts-and-letters	matthew-garry-ancell	Matthew Garry Ancell	Associate Professor	Comparative Arts and Letters	/humanities/comparative-arts-and-letters/matthew-garry-ancell				
fine-arts-and-communications	design	bethanne-parker-andersen	Bethanne Parker Andersen	Professor	Design	/fine-arts-and-communications/design/bethanne-parker-andersen				
physical-and-mathematical-sciences	chemistry-and-biochemistry	joshua-andersen	Joshua Andersen	Assistant Professor	Chemistry and Biochemistry	/physical-and-mathematical-sciences/chemistry-and-biochemistry/joshua-andersen				
physical-and-mathematical-sciences	physics-and-astronomy	brian-e-anderson	Brian E Anderson	Assistant Professor	Physics and Astronomy	/physical-and-mathematical-sciences/physics-and-astronomy/brian-e-anderson				
management	information-systems	bonnie-brinton-anderson	Bonnie Brinton Anderson	Associate Professor	Information Systems	/management/information-systems/bonnie-brinton-anderson				
management	information-systems	gregory-s-anderson	Gregory S Anderson	Assistant Professor	Information Systems	/management/information-systems/gregory-s-anderson				
nursing	nursing-program	peggy-hammond-anderson	Peggy Hammond Anderson	Associate Teaching Professor	Nursing Program	/nursing/nursing-program/peggy-hammond-anderson				
family-home-and-social-sciences	history	stewart-h-anderson	Stewart H Anderson	Assistant Professor	History	/family-home-and-social-sciences/history/stewart-h-anderson				
humanities	philosophy	travis-anderson	Travis Anderson	Associate Professor	Philosophy	/humanities/philosophy/travis-anderson				
life-sciences	plant-and-wildlife-sciences	val-jo-anderson	Val Jo Anderson	Professor	Plant and Wildlife Sciences	/life-sciences/plant-and-wildlife-sciences/val-jo-anderson				
family-home-and-social-sciences	school-of-family-life	shayne-r-anderson	Shayne R Anderson	Associate Professor	School of Family Life	/family-home-and-social-sciences/school-of-family-life/shayne-r-anderson				
physical-and-mathematical-sciences	chemistry-and-biochemistry	merritt-brooks-andrus	Merritt Brooks Andrus	Professor	Chemistry and Biochemistry	/physical-and-mathematical-sciences/chemistry-and-biochemistry/merritt-brooks-andrus				
engineering-and-technology	electrical-and-computer-engineering	james-k-archibald	James K Archibald	Professor	Electrical and Computer Engineering	/engineering-and-technology/electrical-and-computer-engineering/james-k-archibald				
engineering-and-technology	chemical-engineering	morris-dee-argyle	Morris Dee Argyle	Associate Professor	Chemical Engineering	/engineering-and-technology/chemical-engineering/morris-dee-argyle				
management	finance	bronson-s-argyle	Bronson S Argyle	Assistant Professor	Finance	/management/finance/bronson-s-argyle				
life-sciences	physiology-and-developmental-biology	juan-alberto-arroyo	Juan Alberto Arroyo	Assistant Professor	Physiology and Developmental Biology	/life-sciences/physiology-and-developmental-biology/juan-alberto-arroyo				
fine-arts-and-communications	theatre-and-media-arts	julia-d-ashworth	Julia D Ashworth	Assistant Teaching Professor	Theatre and Media Arts	/fine-arts-and-communications/theatre-and-media-arts/julia-d-ashworth				
fine-arts-and-communications	school-of-music	christian-t-asplund	Christian T Asplund	Professor	School of Music	/fine-arts-and-communications/school-of-music/christian-t-asplund				
physical-and-mathematical-sciences	chemistry-and-biochemistry	matthew-c-asplund	Matthew C Asplund	Associate Professor	Chemistry and Biochemistry	/physical-and-mathematical-sciences/chemistry-and-biochemistry/matthew-c-asplund				
family-home-and-social-sciences	history	karen-elaine-auman	Karen Elaine Auman	Assistant Professor	History	/family-home-and-social-sciences/history/karen-elaine-auman				
physical-and-mathematical-sciences	chemistry-and-biochemistry	daniel-e-austin	Daniel E Austin	Associate Professor	Chemistry and Biochemistry	/physical-and-mathematical-sciences/chemistry-and-biochemistry/daniel-e-austin				
fine-arts-and-communications	dance	edwin-gean-austin	Edwin Gean Austin	Associate Professor	Dance	/fine-arts-and-communications/dance/edwin-gean-austin				
fine-arts-and-communications	school-of-music	darrell-gordon-babidge	Darrell Gordon Babidge	Assistant Professor	School of Music	/fine-arts-and-communications/school-of-music/darrell-gordon-babidge				
education	teacher-education	damon-l-bahr	Damon L Bahr	Associate Professor	Teacher Education	/education/teacher-education/damon-l-bahr				
life-sciences	exercise-sciences	bruce-w-bailey	Bruce W Bailey	Associate Professor	Exercise Sciences	/life-sciences/exercise-sciences/bruce-w-bailey				
non-college-and-other-units	counseling-and-career-center	russell-james-bailey	Russell James Bailey	Assistant Clinical Professor	Counseling and Career Center	/non-college-and-other-units/counseling-and-career-center/russell-james-bailey				
physical-and-mathematical-sciences	mathematics	roger-clive-baker	Roger Clive Baker	Professor	Mathematics	/physical-and-mathematical-sciences/mathematics/roger-clive-baker				
physical-and-mathematical-sciences	mathematics	lennard-frank-bakker	Lennard Frank Bakker	Associate Professor	Mathematics	/physical-and-mathematical-sciences/mathematics/lennard-frank-bakker				
family-home-and-social-sciences	psychology	scott-baldwin	Scott A Baldwin	Associate Professor	Psychology	/family-home-and-social-sciences/psychology/scott-baldwin				
religious-education	ancient-scripture	terry-briggs-ball	Terry Briggs Ball	Professor	Ancient Scripture	/religious-education/ancient-scripture/terry-briggs-ball				
engineering-and-technology	civil-and-environmental-engineering	richard-jack-balling	Richard Jack Balling	Professor	Civil and Environmental Engineering	/engineering-and-technology/civil-and-environmental-engineering/richard-jack-balling				
fine-arts-and-communications	dance	nathan-terry-balser	Nathan Terry Balser	Assistant Professor	Dance	/fine-arts-and-communications/dance/nathan-terry-balser				
humanities	english	jonathan-mark-balzotti	Jonathan Mark Balzotti	Assistant Professor	English	/humanities/english/jonathan-mark-balzotti				
engineering-and-technology	electrical-and-computer-engineering	neal-kepler-bangerter	Neal Kepler Bangerter	Associate Professor	Electrical and Computer Engineering	/engineering-and-technology/electrical-and-computer-engineering/neal-kepler-bangerter				
fine-arts-and-communications	theatre-and-media-arts	brad-andrew-krueger-barber	Brad Andrew Krueger Barber	Associate Teaching Professor	Theatre and Media Arts	/fine-arts-and-communications/theatre-and-media-arts/brad-andrew-krueger-barber				
family-home-and-social-sciences	political-science	michael-jay-barber	Michael Jay Barber	Assistant Professor	Political Science	/family-home-and-social-sciences/political-science/michael-jay-barber				
physical-and-mathematical-sciences	computer-science	joseph-cory-barker	Joseph Cory Barker	Teaching Professor	Computer Science	/physical-and-mathematical-sciences/computer-science/joseph-cory-barker				
family-home-and-social-sciences	school-of-family-life	lauren-alyssa-bone-barnes	Lauren Alyssa Bone Barnes	Assistant Professor	School of Family Life	/family-home-and-social-sciences/school-of-family-life/lauren-alyssa-bone-barnes				
life-sciences	health-science	michael-d-barnes	Michael D Barnes	Professor	Health Science	/life-sciences/health-science/michael-d-barnes				
fine-arts-and-communications	art	daniel-t-barney	Daniel T Barney	Assistant Professor	Art	/fine-arts-and-communications/art/daniel-t-barney				
education	teacher-education	david-c-barney	David C Barney	Associate Professor	Teacher Education	/education/teacher-education/david-c-barney				
fine-arts-and-communications	design	robert-t-barrett	Robert T Barrett	Professor	Design	/fine-arts-and-communications/design/robert-t-barrett				
physical-and-mathematical-sciences	computer-science	william-arthur-barrett	William Arthur Barrett	Professor	Computer Science	/physical-and-mathematical-sciences/computer-science/william-arthur-barrett				
management	school-of-accountancy	john-barrick	John A Barrick	Associate Professor	School of Accountancy	/management/school-of-accountancy/john-barrick				
life-sciences	physiology-and-developmental-biology	jeffery-richard-barrow	Jeffery Richard Barrow	Associate Professor	Physiology and Developmental Biology	/life-sciences/physiology-and-developmental-biology/jeffery-richard-barrow				
fine-arts-and-communications	design	brent-kennard-barson	Brent Kennard Barson	Associate Professor	Design	/fine-arts-and-communications/design/brent-kennard-barson				
fine-arts-and-communications	art	garold-c-barton	Garold C Barton	Professor	Art	/fine-arts-and-communications/art/garold-c-barton				
humanities	spanish-and-portuguese	blair-earl-bateman	Blair Earl Bateman	Associate Professor	Spanish and Portuguese	/humanities/spanish-and-portuguese/blair-earl-bateman				
religious-education	church-history-and-doctrine	alexander-lewis-baugh	Alexander Lewis Baugh	Professor	Church History and Doctrine	/religious-education/church-history-and-doctrine/alexander-lewis-baugh				
family-home-and-social-sciences	school-of-family-life	dawna-folsom-baugh	Dawna Folsom Baugh	Assistant Professor	School of Family Life	/family-home-and-social-sciences/school-of-family-life/dawna-folsom-baugh				
education	educational-leadership-and-foundations	donald-r-baum	Donald R Baum	Assistant Professor	Educational Leadership and Foundations	/education/educational-leadership-and-foundations/donald-r-baum				
engineering-and-technology	chemical-engineering	larry-lin-baxter	Larry Lin Baxter	Professor	Chemical Engineering	/engineering-and-technology/chemical-engineering/larry-lin-baxter				
humanities	comparative-arts-and-letters	stephen-m-bay	Stephen M Bay	Associate Professor	Comparative Arts and Letters	/humanities/comparative-arts-and-letters/stephen-m-bay				
family-home-and-social-sciences	school-of-family-life	roy-bean	Roy A Bean	Associate Professor	School of Family Life	/family-home-and-social-sciences/school-of-family-life/roy-bean				
engineering-and-technology	electrical-and-computer-engineering	randal-winston-beard	Randal Winston Beard	Professor	Electrical and Computer Engineering	/engineering-and-technology/electrical-and-computer-engineering/randal-winston-beard				
nursing	nursing-program	renea-lindstrom-beckstrand	Renea Lindstrom Beckstrand	Professor	Nursing Program	/nursing/nursing-program/renea-lindstrom-beckstrand				
management	organizational-leadership-and-strategy	jeffrey-s-bednar	Jeffrey S Bednar	Assistant Professor	Organizational Leadership and Strategy	/management/organizational-leadership-and-strategy/jeffrey-s-bednar				
non-college-and-other-units	counseling-and-career-center	mark-e-beecher	Mark E Beecher	Clinical Professor	Counseling and Career Center	/non-college-and-other-units/counseling-and-career-center/mark-e-beecher				
family-home-and-social-sciences	political-science	celeste-elizabeth-beesley	Celeste Elizabeth Beesley	Assistant Professor	Political Science	/family-home-and-social-sciences/political-science/celeste-elizabeth-beesley				
family-home-and-social-sciences	geography	matthew-frank-bekker	Matthew Frank Bekker	Associate Professor	Geography	/family-home-and-social-sciences/geography/matthew-frank-bekker				
life-sciences	biology	mark-c-belk	Mark C Belk	Professor	Biology	/life-sciences/biology/mark-c-belk				
fine-arts-and-communications	school-of-music	monte-l-belknap	Monte L Belknap	Associate Professor	School of Music	/fine-arts-and-communications/school-of-music/monte-l-belknap				
humanities	german-and-russian	teresa-reber-bell	Teresa Reber Bell	Assistant Professor	German and Russian	/humanities/german-and-russian/teresa-reber-bell				
life-sciences	nutrition-dietetics-and-food-science	sarah-gunnell-bellini	Sarah Gunnell Bellini	Assistant Professor	Nutrition Dietetics and Food Science	/life-sciences/nutrition-dietetics-and-food-science/sarah-gunnell-bellini				
religious-education	ancient-scripture	daniel-lee-belnap	Daniel Lee Belnap	Associate Professor	Ancient Scripture	/religious-education/ancient-scripture/daniel-lee-belnap				
humanities	comparative-arts-and-letters	v-stanley-benfell	V Stanley Benfell	Professor	Comparative Arts and Letters	/humanities/comparative-arts-and-letters/v-stanley-benfell				
religious-education	church-history-and-doctrine	richard-edmond-bennett	Richard Edmond Bennett	Professor	Church History and Doctrine	/religious-education/church-history-and-doctrine/richard-edmond-bennett				
non-college-and-other-units	counseling-and-career-center	lynne-ann-bennion	Lynne Ann Bennion	Clinical Professor	Counseling and Career Center	/non-college-and-other-units/counseling-and-career-center/lynne-ann-bennion				
humanities	english	john-serge-bennion	John Serge Bennion	Associate Professor	English	/humanities/english/john-serge-bennion				
management	organizational-leadership-and-strategy	david-frederick-benson	David Frederick Benson	Assistant Professor	Organizational Leadership and Strategy	/management/organizational-leadership-and-strategy/david-frederick-benson				
life-sciences	microbiology-and-molecular-biology	bradford-k-berges	Bradford K Berges	Assistant Professor	Microbiology and Molecular Biology	/life-sciences/microbiology-and-molecular-biology/bradford-k-berges				
physical-and-mathematical-sciences	physics-and-astronomy	scott-d-bergeson	Scott D Bergeson	Professor	Physics and Astronomy	/physical-and-mathematical-sciences/physics-and-astronomy/scott-d-bergeson				
physical-and-mathematical-sciences	statistics	candace-berrett	Candace Berrett	Assistant Professor	Statistics	/physical-and-mathematical-sciences/statistics/candace-berrett				
fine-arts-and-communications	dance	marilyn-berrett	Marilyn Berrett	Professor	Dance	/fine-arts-and-communications/dance/marilyn-berrett				
physical-and-mathematical-sciences	physics-and-astronomy	manuel-berrondo	Manuel Berrondo	Professor	Physics and Astronomy	/physical-and-mathematical-sciences/physics-and-astronomy/manuel-berrondo				
physical-and-mathematical-sciences	geological-sciences	barry-r-bickmore	Barry R Bickmore	Professor	Geological Sciences	/physical-and-mathematical-sciences/geological-sciences/barry-r-bickmore				
fine-arts-and-communications	school-of-music	anny-claudine-bigelow	Anny Claudine Bigelow	Professor	School of Music	/fine-arts-and-communications/school-of-music/anny-claudine-bigelow				
family-home-and-social-sciences	psychology	erin-david-bigler	Erin David Bigler	Professor	Psychology	/family-home-and-social-sciences/psychology/erin-david-bigler				
life-sciences	physiology-and-developmental-biology	benjamin-thomas-bikman	Benjamin Thomas Bikman	Assistant Professor	Physiology and Developmental Biology	/life-sciences/physiology-and-developmental-biology/benjamin-thomas-bikman				
management	marketing-and-global-supply-chain	darron-m-billeter	Darron M Billeter	Assistant Professor	Marketing and Global Supply Chain	/management/marketing-and-global-supply-chain/darron-m-billeter				
engineering-and-technology	school-of-technology	evan-dale-bingham	Evan Dale Bingham	Assistant Professor	School of Technology	/engineering-and-technology/school-of-technology/evan-dale-bingham				
non-college-and-other-units	counseling-and-career-center	jennie-l-bingham	Jennie L Bingham	Assistant Clinical Professor	Counseling and Career Center	/non-college-and-other-units/counseling-and-career-center/jennie-l-bingham				
management	organizational-leadership-and-strategy	john-byron-bingham	John Byron Bingham	Associate Professor	Organizational Leadership and Strategy	/management/organizational-leadership-and-strategy/john-byron-bingham				
family-home-and-social-sciences	psychology	wendy-ann-birmingham	Wendy Ann Birmingham	Assistant Professor	Psychology	/family-home-and-social-sciences/psychology/wendy-ann-birmingham				
education		sharon-jean-black	Sharon Jean Black	Associate Teaching Professor	Education	/education/sharon-jean-black				
nursing	nursing-program	kent-d-blad	Kent D Blad	Teaching Professor	Nursing Program	/nursing/nursing-program/kent-d-blad				
physical-and-mathematical-sciences	statistics	natalie-jean-blades	Natalie Jean Blades	Associate Professor	Statistics	/physical-and-mathematical-sciences/statistics/natalie-jean-blades				
education	communication-disorders	nancy-blair	Nancy A Blair	Associate Clinical Professor	Communication Disorders	/education/communication-disorders/nancy-blair				
engineering-and-technology	mechanical-engineering	jonathan-d-blotter	Jonathan D Blotter	Professor	Mechanical Engineering	/engineering-and-technology/mechanical-engineering/jonathan-d-blotter				
religious-education	ancient-scripture	lincoln-harris-blumell	Lincoln Harris Blumell	Assistant Professor	Ancient Scripture	/religious-education/ancient-scripture/lincoln-harris-blumell				
management	marketing-and-global-supply-chain	michael-gregg-bond	Michael Gregg Bond	Assistant Teaching Professor	Marketing and Global Supply Chain	/management/marketing-and-global-supply-chain/michael-gregg-bond				
religious-education	church-history-and-doctrine	david-flake-boone	David Flake Boone	Associate Professor	Church History and Doctrine	/religious-education/church-history-and-doctrine/david-flake-boone				
fine-arts-and-communications	school-of-music	randall-wayne-boothe	Randall Wayne Boothe	Associate Professor	School of Music	/fine-arts-and-communications/school-of-music/randall-wayne-boothe				
education	educational-leadership-and-foundations	david-mckay-boren	David McKay Boren	Assistant Clinical Professor	Educational Leadership and Foundations	/education/educational-leadership-and-foundations/david-mckay-boren				
engineering-and-technology	civil-and-environmental-engineering	michael-brett-borup	Michael Brett Borup	Associate Professor	Civil and Environmental Engineering	/engineering-and-technology/civil-and-environmental-engineering/michael-brett-borup				
humanities	english	grant-maurice-boswell	Grant Maurice Boswell	Associate Professor	English	/humanities/english/grant-maurice-boswell				
fine-arts-and-communications	dance	shayla-bott	Shayla Bott	Assistant Professor	Dance	/fine-arts-and-communications/dance/shayla-bott				
humanities	asian-and-near-eastern-languages	dana-scott-bourgerie	Dana Scott Bourgerie	Professor	Asian and Near Eastern Languages	/humanities/asian-and-near-eastern-languages/dana-scott-bourgerie				
engineering-and-technology	mechanical-engineering	anton-e-bowden	Anton E Bowden	Associate Professor	Mechanical Engineering	/engineering-and-technology/mechanical-engineering/anton-e-bowden				
family-home-and-social-sciences	political-science	donna-lee-bowen	Donna Lee Bowen	Professor	Political Science	/family-home-and-social-sciences/political-science/donna-lee-bowen				
engineering-and-technology	school-of-technology	michael-f-bown	Michael F Bown	Associate Teaching Professor	School of Technology	/engineering-and-technology/school-of-technology/michael-f-bown				
humanities	german-and-russian	jennifer-bown	Jennifer Bown	Associate Professor	German and Russian	/humanities/german-and-russian/jennifer-bown				
management	finance	brian-howard-boyer	Brian Howard Boyer	Associate Professor	Finance	/management/finance/brian-howard-boyer				
fine-arts-and-communications	school-of-communications	kristoffer-d-boyle	Kristoffer D Boyle	Assistant Professor	School of Communications	/fine-arts-and-communications/school-of-communications/kristoffer-d-boyle				
family-home-and-social-sciences	school-of-family-life	angela-beesley-bradford	Angela Beesley Bradford	Assistant Professor	School of Family Life	/family-home-and-social-sciences/school-of-family-life/angela-beesley-bradford				
family-home-and-social-sciences	economics	scott-charles-bradford	Scott Charles Bradford	Associate Professor	Economics	/family-home-and-social-sciences/economics/scott-charles-bradford				
family-home-and-social-sciences	psychology	scott-ronald-braithwaite	Scott Ronald Braithwaite	Assistant Professor	Psychology	/family-home-and-social-sciences/psychology/scott-ronald-braithwaite				
fine-arts-and-communications	school-of-music	robert-david-brandt	Robert David Brandt	Assistant Professor	School of Music	/fine-arts-and-communications/school-of-music/robert-david-brandt				
management	finance	james-c-brau	James C Brau	Professor	Finance	/management/finance/james-c-brau				
life-sciences	microbiology-and-molecular-biology	donald-philip-breakwell	Donald Philip Breakwell	Professor	Microbiology and Molecular Biology	/life-sciences/microbiology-and-molecular-biology/donald-philip-breakwell				
fine-arts-and-communications	theatre-and-media-arts	stephanie-ann-foster-breinholt	Stephanie Ann Foster Breinholt	Assistant Professor	Theatre and Media Arts	/fine-arts-and-communications/theatre-and-media-arts/stephanie-ann-foster-breinholt				
humanities	german-and-russian	cindy-p-brewer	Cindy P Brewer	Associate Professor	German and Russian	/humanities/german-and-russian/cindy-p-brewer				
life-sciences	microbiology-and-molecular-biology	laura-clarke-bridgewater	Laura Clarke Bridgewater	Associate Professor	Microbiology and Molecular Biology	/life-sciences/microbiology-and-molecular-biology/laura-clarke-bridgewater				
education	communication-disorders	bonnie-brinton	Bonnie Brinton	Professor	Communication Disorders	/education/communication-disorders/bonnie-brinton				
physical-and-mathematical-sciences	geological-sciences	brooks-bradley-britt	Brooks Bradley Britt	Associate Professor	Geological Sciences	/physical-and-mathematical-sciences/geological-sciences/brooks-bradley-britt				
physical-and-mathematical-sciences	chemistry-and-biochemistry	robert-todd-bronson	Robert Todd Bronson	Associate Teaching Professor	Chemistry and Biochemistry	/physical-and-mathematical-sciences/chemistry-and-biochemistry/robert-todd-bronson				
religious-education	church-history-and-doctrine	kent-richmond-brooks	Kent Richmond Brooks	Associate Teaching Professor	Church History and Doctrine	/religious-education/church-history-and-doctrine/kent-richmond-brooks				
fine-arts-and-communications	school-of-music	gordon-paul-broomhead	Gordon Paul Broomhead	Professor	School of Music	/fine-arts-and-communications/school-of-music/gordon-paul-broomhead				
fine-arts-and-communications	school-of-music	ronald-paul-brough	Ronald Paul Brough	Professor	School of Music	/fine-arts-and-communications/school-of-music/ronald-paul-brough				
family-home-and-social-sciences	political-science	adam-robert-brown	Adam Robert Brown	Assistant Professor	Political Science	/family-home-and-social-sciences/political-science/adam-robert-brown				
family-home-and-social-sciences	psychology	bruce-l-brown	Bruce L Brown	Professor	Psychology	/family-home-and-social-sciences/psychology/bruce-l-brown				
fine-arts-and-communications	school-of-music	david-c-brown	David C Brown	Associate Professor	School of Music	/fine-arts-and-communications/school-of-music/david-c-brown				
fine-arts-and-communications	dance	graham-harris-brown	Graham Harris Brown	Assistant Professor	Dance	/fine-arts-and-communications/dance/graham-harris-brown				
family-home-and-social-sciences	history	kendall-walker-brown	Kendall Walker Brown	Professor	History	/family-home-and-social-sciences/history/kendall-walker-brown				
life-sciences	physiology-and-developmental-biology	michael-d-brown	Michael D Brown	Associate Professor	Physiology and Developmental Biology	/life-sciences/physiology-and-developmental-biology/michael-d-brown				
humanities	german-and-russian	newel-anthony-brown	Newel Anthony Brown	Professor	German and Russian	/humanities/german-and-russian/newel-anthony-brown				
humanities	digital-humanities-program	jeremy-michael-browne	Jeremy Michael Browne	Associate Research Professor	Digital Humanities Program	/humanities/digital-humanities-program/jeremy-michael-browne				
fine-arts-and-communications	school-of-communications	pamela-jo-brubaker	Pamela Jo Brubaker	Assistant Professor	School of Communications	/fine-arts-and-communications/school-of-communications/pamela-jo-brubaker				
life-sciences	exercise-sciences	dustin-andrew-bruening	Dustin Andrew Bruening	Assistant Professor	Exercise Sciences	/life-sciences/exercise-sciences/dustin-andrew-bruening				
management	organizational-leadership-and-strategy	david-j-bryce	David J Bryce	Associate Professor	Organizational Leadership and Strategy	/management/organizational-leadership-and-strategy/david-j-bryce				
family-home-and-social-sciences	history	jay-harry-buckley	Jay Harry Buckley	Associate Professor	History	/family-home-and-social-sciences/history/jay-harry-buckley				
management	school-of-accountancy	cassy-j-budd	Cassy J Budd	Professor	School of Accountancy	/management/school-of-accountancy/cassy-j-budd				
fine-arts-and-communications	art	fidalis-d-buehler	Fidalis D Buehler	Assistant Professor	Art	/fine-arts-and-communications/art/fidalis-d-buehler				
education	teacher-education	robert-v-bullough	Robert V Bullough	Professor	Teacher Education	/education/teacher-education/robert-v-bullough				
engineering-and-technology	chemical-engineering	bradley-c-bundy	Bradley C Bundy	Assistant Professor	Chemical Engineering	/engineering-and-technology/chemical-engineering/bradley-c-bundy				
family-home-and-social-sciences	psychology	gary-michael-burlingame	Gary Michael Burlingame	Professor	Psychology	/family-home-and-social-sciences/psychology/gary-michael-burlingame				
physical-and-mathematical-sciences	chemistry-and-biochemistry	scott-r-burt	Scott R Burt	Associate Teaching Professor	Chemistry and Biochemistry	/physical-and-mathematical-sciences/chemistry-and-biochemistry/scott-r-burt				
management	school-of-accountancy	fielding-greg-burton	Fielding Greg Burton	Professor	School of Accountancy	/management/school-of-accountancy/fielding-greg-burton				
humanities	english	gideon-o-burton	Gideon O Burton	Assistant Professor	English	/humanities/english/gideon-o-burton				
physical-and-mathematical-sciences	chemistry-and-biochemistry	gregory-f-burton	Gregory F Burton	Professor	Chemistry and Biochemistry	/physical-and-mathematical-sciences/chemistry-and-biochemistry/gregory-f-burton				
physical-and-mathematical-sciences	computer-science	robert-p-burton	Robert P Burton	Professor	Computer Science	/physical-and-mathematical-sciences/computer-science/robert-p-burton				
life-sciences	physiology-and-developmental-biology	david-busath	David Busath	Professor	Physiology and Developmental Biology	/life-sciences/physiology-and-developmental-biology/david-busath				
family-home-and-social-sciences	school-of-family-life	mark-heber-butler	Mark Heber Butler	Professor	School of Family Life	/family-home-and-social-sciences/school-of-family-life/mark-heber-butler				
non-college-and-other-units	counseling-and-career-center	michael-s-buxton	Michael S Buxton	Associate Clinical Professor	Counseling and Career Center	/non-college-and-other-units/counseling-and-career-center/michael-s-buxton				
education	teacher-education	john-eric-bybee	John Eric Bybee	Assistant Professor	Teacher Education	/education/teacher-education/john-eric-bybee				
life-sciences	biology	seth-mikaya-bybee	Seth Mikaya Bybee	Assistant Professor	Biology	/life-sciences/biology/seth-mikaya-bybee				
education	counseling-psychology-and-special-education	paul-caldarella	Paul Caldarella	Associate Professor	Counseling Psychology and Special Education	/education/counseling-psychology-and-special-education/paul-caldarella				
humanities	comparative-arts-and-letters	michael-josiah-call	Michael Josiah Call	Associate Professor	Comparative Arts and Letters	/humanities/comparative-arts-and-letters/michael-josiah-call				
fine-arts-and-communications	school-of-music	robert-steven-call	Robert Steven Call	Professor	School of Music	/fine-arts-and-communications/school-of-music/robert-steven-call				
fine-arts-and-communications	school-of-communications	loy-clark-callahan	Loy Clark Callahan	Associate Professor	School of Communications	/fine-arts-and-communications/school-of-communications/loy-clark-callahan				
fine-arts-and-communications	school-of-communications	mark-alden-callister	Mark Alden Callister	Professor	School of Communications	/fine-arts-and-communications/school-of-communications/mark-alden-callister				
engineering-and-technology	school-of-technology	jeffery-l-campbell	Jeffery L Campbell	Associate Professor	School of Technology	/engineering-and-technology/school-of-technology/jeffery-l-campbell				
fine-arts-and-communications	school-of-communications	joel-jay-campbell	Joel Jay Campbell	Associate Teaching Professor	School of Communications	/fine-arts-and-communications/school-of-communications/joel-jay-campbell				
