college-stub	department-stub	college-name-short	department-name	department-url
continuing-education	independent-study	Continuing Education	Independent Study	/continuing-education/independent-study
management	information-systems	Management	Information Systems	/management/information-systems
education	instructional-psychology-and-technology	Education	Instructional Psychology and Technology	/education/instructional-psychology-and-technology
humanities	international-cinema-program	Humanities	International Cinema Program	/humanities/international-cinema-program
international-and-area-studies	international-development-program	International and Area Studies	International Development Program	/international-and-area-studies/international-development-program
international-and-area-studies	international-relations-program	International and Area Studies	International Relations Program	/international-and-area-studies/international-relations-program
humanities	center-language-studies	Humanities	Language Studies	/humanities/center-language-studies
international-and-area-studies	latin-american-studies-program	International and Area Studies	Latin American Studies Program	/international-and-area-studies/latin-american-studies-program
humanities	linguistics-and-english-language	Humanities	Linguistics and English Language	/humanities/linguistics-and-english-language
management	management-programs	Management	Management Programs	/management/management-programs
management	marketing-and-global-supply-chain	Management	Marketing and Global Supply Chain	/management/marketing-and-global-supply-chain
physical-and-mathematical-sciences	mathematics	Physical and Mathematical Sciences	Mathematics	/physical-and-mathematical-sciences/mathematics
physical-and-mathematical-sciences	mathematics-education	Physical and Mathematical Sciences	Mathematics Education	/physical-and-mathematical-sciences/mathematics-education
engineering-and-technology	mechanical-engineering	Engineering and Technology	Mechanical Engineering	/engineering-and-technology/mechanical-engineering
life-sciences	microbiology-and-molecular-biology	Life Sciences	Microbiology and Molecular Biology	/life-sciences/microbiology-and-molecular-biology
international-and-area-studies	middle-eastern-studies-arabic-program	International and Area Studies	Middle Eastern Studies - Arabic Program	/international-and-area-studies/middle-eastern-studies-arabic-program
management	military-science	Management	Military Science	/management/military-science
fine-arts-and-communications	school-of-music	Fine Arts and Communications	Music	/fine-arts-and-communications/school-of-music
fine-arts-and-communications	music-dance-theatre-program	Fine Arts and Communications	Music Dance Theatre Program	/fine-arts-and-communications/music-dance-theatre-program
family-home-and-social-sciences	neuroscience-center	Family Home and Social Sciences	Neuroscience	/family-home-and-social-sciences/neuroscience-center
nursing	nursing-program	Nursing	Nursing Program	/nursing/nursing-program
life-sciences	nutrition-dietetics-and-food-science	Life Sciences	Nutrition, Dietetics, and Food Science	/life-sciences/nutrition-dietetics-and-food-science
management	organizational-leadership-and-strategy	Management	Organizational Leadership and Strategy	/management/organizational-leadership-and-strategy
humanities	philosophy	Humanities	Philosophy	/humanities/philosophy
physical-and-mathematical-sciences	physical-science-program	Physical and Mathematical Sciences	Physical Science Program	/physical-and-mathematical-sciences/physical-science-program
physical-and-mathematical-sciences	physics-and-astronomy	Physical and Mathematical Sciences	Physics and Astronomy	/physical-and-mathematical-sciences/physics-and-astronomy
life-sciences	physiology-and-developmental-biology	Life Sciences	Physiology and Developmental Biology	/life-sciences/physiology-and-developmental-biology
life-sciences	plant-and-wildlife-sciences	Life Sciences	Plant and Wildlife Sciences	/life-sciences/plant-and-wildlife-sciences
family-home-and-social-sciences	political-science	Family Home and Social Sciences	Political Science	/family-home-and-social-sciences/political-science
family-home-and-social-sciences	psychology	Family Home and Social Sciences	Psychology	/family-home-and-social-sciences/psychology
management	public-management	Management	Public Management	/management/public-management
management	recreation-management	Management	Recreation Management	/management/recreation-management
family-home-and-social-sciences	school-of-social-work	Family Home and Social Sciences	Social Work	/family-home-and-social-sciences/school-of-social-work
family-home-and-social-sciences	sociology	Family Home and Social Sciences	Sociology	/family-home-and-social-sciences/sociology
humanities	spanish-and-portuguese	Humanities	Spanish and Portuguese	/humanities/spanish-and-portuguese
physical-and-mathematical-sciences	statistics	Physical and Mathematical Sciences	Statistics	/physical-and-mathematical-sciences/statistics
student-life	student-activities-program	Student Life	Student Activities Program	/student-life/student-activities-program
student-life	student-development	Student Life	Student Development	/student-life/student-development
education	teacher-education	Education	Teacher Education	/education/teacher-education
engineering-and-technology	school-of-technology	Engineering and Technology	Technology	/engineering-and-technology/school-of-technology
fine-arts-and-communications	theatre-and-media-arts	Fine Arts and Communications	Theatre and Media Arts	/fine-arts-and-communications/theatre-and-media-arts
humanities	womens-studies-program	Humanities	Women's Studies Program	/humanities/womens-studies-program
