college-stub	department-stub	program-stub	department-name	course-credit-hours	course-description	course-number	course-name	course-url
	art		Art	'3		ARTED 578 R	MA Figure Drawing.	
	art		Art	'3	MA courses in ceramics, drawing, figure drawing, oil painting, aqueous painting, printmaking, crafts, sculpture, digital art, and conceptual art media.	ARTED 578 R	Art Education Studio.	
	art		Art	'3		ARTED 578 R	MA Oil Painting.	
	art		Art	'3		ARTED 578 R	MA Sculpture.	
	art		Art	'3		ARTED 578 R	MA Ceramics.	
	art		Art	'3		ARTED 578 R	MA Drawing.	
	art		Art	'3		ARTED 578 R	MA Printmaking.	
	art		Art	'3		ARTED 578 R	MA Crafts.	
	art		Art	'3		ARTED 578 R	MA Aqueous Painting.	
	art		Art	'3	Seminar topics emphasizing issues and trends in art education. Topics investigated, discussed, and evaluated, depending on student needs.	ARTED 678 R	Art Education Seminar: Issues and Trends.	
	art		Art	'0.5-6		ARTED 699 R	Master's Thesis.	
	biology		Biology	'1	Introduction to graduate school and research techniques.	BIO 503	Research Orientation.	
	biology		Biology	'3	Principles, methods, and tools of taxonomy and systematics as applied to species delimitation, specimen-based research, nomenclatural codes, and the curation of biological specimens.	BIO 510	Biological Systematics and Curation.	
	biology		Biology	'3	Classification, morphology, and ecology on lichens.  Field trip required.	BIO 511	Lichenology.	
	biology		Biology	'3	Description, classification, phylogeny, and geographic distribution of flowering plant families.	BIO 512	Angiosperm Phylogeny.	
	biology		Biology	'3	Animal disease emphasizing prevention, organ systems affected, biosecurity, and zoonotic potential.	BIO 525	Animal Disease, Biosecurity, and Zoonoses.	
	biology		Biology	'4	Morphology, classification, biology, and functional ecology of aquatic insects. Field trips required.	BIO 541	Aquatic Entomology.	
	biology		Biology	'2	Using models in ecology.  Practical experience in analytical, simulation, and agent-based models.	BIO 555	Evolutionary and Ecological Modeling.	
	biology		Biology	'3	Lakes, reservoirs; their biota and physical/chemical properties.	BIO 556	Limnology.	
	biology		Biology	'4	Stream and wetland ecology; their biota and their physical/chemical properties.	BIO 557	Stream and Wetland Ecology.	
	biology		Biology	'1-6		BIO 559 R	Tropical Biology.	
	biology		Biology	'1-6	Current topics in ecology, evolution, and systematics.	BIO 559 R	Advanced Topics in Ecology and Evolution.	
	biology		Biology	'1-6		BIO 559 R	Physiological Ecology.	
	biology		Biology	'4	Basic principles of population genetics applied to natural populations; drift, selection, and nonrandom mating; inferring population subdivision, migration, and gene flow.	BIO 560	Population Genetics.	
	biology		Biology	'3	Theoretical and practical transmission electron microscopy of biological, physical science, and engineering samples, emphasizing practical applications.	BIO 581	Transmission Electron Microscopy.	
	biology		Biology	'4	Theoretical foundations of modern systematics, methods of phylogenetic inference, and discussion of contemporary literature.	BIO 640	Phylogenetic Systematics.	
	biology		Biology	'4	Theoretical foundations of molecular evolution; molecular phylogenetics, estimates of population genetic parameters, gene duplication, horizontal gene transfer, rates of evolution, molecular clocks.	BIO 641	(Bio - MMBio) Molecular Evolution.	
	biology		Biology	'3	Exploring the diversity of life by integrating ecological and evolutionary perspectives.  Topics include theoretical population ecology, advanced evolutionary biology, and behavioral ecology.	BIO 652	Evolutionary Ecology.	
	biology		Biology	'3	Integrating ecological and biogeochemical concepts to understand the structuring of biological communities and ecological systems. Topics include community assembly, trophic dynamics, systems biology, ecosystem services, and biodiversity-ecosystem function.	BIO 653	Community and Ecosystem Ecology.	
	biology		Biology	'3	Current topics in biological science education.	BIO 679 R	Advanced Topics in Science Education.	
	biology		Biology	'1-6	Advanced research in electron microscopy.	BIO 681 R	Electron Microscopy Laboratory.	
	biology		Biology	'0.5		BIO 691 R	Graduate Seminar.	
	biology		Biology	'1-6	Independent student research under faculty supervision.	BIO 694 R	Special Problems in Biology.	
	biology		Biology	'4-8	Curricula, principles, concepts, and experiences in teaching biology effectively.	BIO 695 R	Practicum in Biology Teaching.	
	biology		Biology	'1-9		BIO 699 R	Master's Thesis.	
	biology		Biology	'1-9		BIO 799 R	Doctoral Dissertation.	
	business-administration		Business Administration	'1.5	Analyzing financial accounting and reporting issues used by prospective managers.	M B A 501	Corporate Financial Reporting.	
	business-administration		Business Administration	'1.5	Objectives and procedures of cost accounting.  Topics include job costing, joint product costing, cost behavior analysis, standard costs, cost allocation problems, and cost data use in management.	M B A 502	Managerial Accounting 1.	
	business-administration		Business Administration	'3	Develop leadership ability by identifying and building upon existing strengths. Students focus on maintaining positive professional relationships while motivating high performance of individuals, teams, and organizations. Topics include organizational culture and change, leader communication, and character.	M B A 505	Leadership.	
	business-administration		Business Administration	'1.5	Management and control with information technology.  Information flow, database design, and use applied to cost controls and managerial decision making.	M B A 510	Management and Information Technology.	
	business-administration		Business Administration	'3	Short-term financing of a business operation. Developing techniques for financial planning, such as analysis of ratios, profitability, and liquidity.	M B A 520	Business Finance.	
	business-administration		Business Administration	'3	Prepare students to work as treasurer or CFO by helping them understand banking relations, cash management, short-term investing and borrowing, liquidity management, and receivables and payables management in an era of electronic commerce.	M B A 521	Global Treasury Management.	
	business-administration		Business Administration	'1.5	Areas of financial reporting where managers have considerable discretion, including pensions, leases, equity securities, earnings, dilution, employee stock options, and deferred taxes.  Dynamics between auditors, managers, and financial analysts.	M B A 524	Advanced Corporate Financial Reporting.	
	business-administration		Business Administration	'1.5	Analysis of financial statements and accompanying footnotes. How various accounting methods might affect interpretation and use of financial information.	M B A 527	Financial Statement Analysis.	
	business-administration		Business Administration	'3	Elaboration on MBA 520 topics (i.e., capital budgetary, cost of capital, and capital structure).  Concepts such as real options, valuation, and mergers introduced.	M B A 528	Managerial Finance.	
	business-administration		Business Administration	'3	Applying and integrating logistics-related topics, including materials management, physical distribution, inventory management, warehousing, logistics network design, customer service, packaging, and materials handling.	M B A 529	Strategic Logistics Management.	
	business-administration		Business Administration	'3	Examining issues and tools in production and operations management.  Specific tools for forecasting, planning, inventory control, and project management presented and developed.	M B A 530	Operations Management.	
	business-administration		Business Administration	'3	Upstream supply chain activities of supplier selection, management, and development. Topics will include negotiations, costing, product development, and commodity analysis.	M B A 532	Strategic Sourcing.	
	business-administration		Business Administration	'3	Theory and practice of change in organizations.	M B A 537	Change Management.	
	business-administration		Business Administration	'3	Foundation for understanding organizations -- behavior, structure, purposes, including models and diagnostic frameworks. How overall environment and societal context shape individuals and organizations.	M B A 542	Micro/Macro Organizational Behavior.	
	business-administration		Business Administration	'3	Investigating the dynamics that make teams successful, analyzing pitfalls of working in teams, and exploring recommendations to improve team effectiveness.  Identifying and resolving common team challenges, as team members and consultants to an external team.	M B A 544	Team Management and Consultation.	
	business-administration		Business Administration	'3	Acquiring skills and competencies including selection, compensation, performance evaluation, training evaluation, organizational assessment, and research methodology.	M B A 546	Human Resource Management Skills.	
	business-administration		Business Administration	'3	U.S./International labor/industrial relations. History, labor law, union organizing campaigns, contract negotiations, arbitration, union avoidance. Employment discrimination, work policies, and workplace safety and health.	M B A 547	Labor Relations and Employment Law.	
	business-administration		Business Administration	'3	HRM from manager's perspective. Employment relationship, recruiting/selection, employment law, performance management, and HRM in emerging companies. Managing human assets within firm's strategy, industry, and stakeholder environment.	M B A 548	Strategic Human Resource Management.	
	business-administration		Business Administration	'0.5-3	Research and practical application related to successfully harmonizing one's family and work lives.	M B A 549 R	Work and Family.	
	business-administration		Business Administration	'0.5-3	Perspectives of psychology and sociology on the organization, organizational identity, organizational effectiveness, and organizational change.  Critical thinking and application to cases and personal experience.	M B A 549 R	Understanding Organizations.	
	business-administration		Business Administration	'0.5-3	Special topics or problems varying from semester to semester, e.g., conflict resolution, power and influence, intergroup relations, career development and planning, and management skills.	M B A 549 R	Professional Seminar in Organizational Behavior.	
	business-administration		Business Administration	'3	Development of analytical marketing tools and techniques; their utilization in case analysis and decision making in marketing management.	M B A 550	Marketing Management.	
	business-administration		Business Administration	'3	Developing computer-based statistical analysis skills for marketing to enhance the decision-making and strategic thinking abilities of marketing managers.  Topics include segmentation, targeting, positioning, and pricing.	M B A 553	Pricing Strategies.	
	business-administration		Business Administration	'3	Marketing strategy for business on the internet:  marketing research, sales, and promotional concepts.	M B A 554	Internet Marketing.	
	business-administration		Business Administration	'3	Key issues facing marketing managers when promoting products and services. Cases, readings, and research on the elements of effective communication strategies and promotional programs.	M B A 556	Advertising and Promotion.	
	business-administration		Business Administration	'3	Introduction to strategic planning; concepts, models, and analysis.	M B A 580	Business Strategy.	
	business-administration		Business Administration	'1.5	Foundations in global management integrating strategy, finance, operations, marketing, and human resource management.	M B A 584	Introduction to Global Management.	
	business-administration		Business Administration	'0.5-3	Working as a team with faculty and management in strategic consulting projects for local, national, and international business.	M B A 590 R	Miller New Venture Competition Leadership.	
	business-administration		Business Administration	'0.5-3	Directors of the BYU Business Plan Competition learn and apply skills in leadership, governance, financial management, mentoring, and VA/Angel networking.  application and faculty approval required.	M B A 590 R	Business Plan competition Management.	
	business-administration		Business Administration	'0.5-3	Integrated applications of case analysis and presentation skills.  Group work to analyze cases and formulate recommendations, followed by professional presentations to groups representing management.	M B A 591 R	Integrative Exercise.	
	business-administration		Business Administration	'0.5-3	Invited guests speak on topics of general management interest ranging from ethics, industry problems and opportunities, and government policies to relevant current events.	M B A 593 R	Management Seminar.	
	business-administration		Business Administration	'0.5	Hands-on practical training for MBA international students to be taken after their first year of the MBA program.	M B A 598 R	Curricular Practical Training.	
	business-administration		Business Administration	'3	Analysis of business and individual transactions for their tax factors. Basic structure of the law and implications for both personal and corporate income tax.	M B A 602	Taxation for Decision Makers.	
	business-administration		Business Administration	'1.5	Basic issues, concepts, and tools of management ethics; includes ethical theory, character ethics, and social responsibility, all taught in a gospel context.	M B A 604	Business Ethics.	
	business-administration		Business Administration	'1.5	Applying analytical decision-making tools to management situations using spreadsheet decision models based on concepts of risk, uncertainty, and multiple criteria.	M B A 605	Decision Analysis.	
	business-administration		Business Administration	'1.5	Applying analytical decision-making tools to management situations, emphasizing spreadsheet decision models that optimize a key variable subject to constraints.	M B A 606	Optimization.	
	business-administration		Business Administration	'3	Applying macroeconomics and statistics to understand key institutions, anticipate business conditions, predict interest rates, and forecast market indicators.	M B A 609	Money, Financial Markets, and Forecasting.	
	business-administration		Business Administration	'3	Programming in Excel VBA; automating common tasks; retrieving data from web servers; building optimization models and user forms.	M B A 614	Spreadsheet Automation and Modeling.	
	business-administration		Business Administration	'3	Use of spreadsheets to support business analysis and decision making. Includes sensitivity analysis, pivot tables, introductions to databases and macros, charting, and similar topics.	M B A 615	Spreadsheets for Business Analysis.	
	business-administration		Business Administration	'3	Management of risk exposures in a business setting.  Identifying, measuring, and dealing with both traditional insurable risks and financial risks.	M B A 617	Risk Management.	
	business-administration		Business Administration	'3	Learning how financial markets work.  Understanding terminology of markets.  Gaining exposure to market professionals and institutions.  Developing skills in company analysis, portfolio management, and Excel spreadsheets.  Preparing for careers in financial markets.	M B A 618	Financial Markets.	
	business-administration		Business Administration	'3	Methods and principles for effective management of customer relationships and interactions. Analyzing customer-interactive processes. Facilitating customer roles in the supply chain pertaining to cost, quality, and workflow. Using customer service technology for strategic advantage.	M B A 619	Customer Relationship Management.	
	business-administration		Business Administration	'3	Financial decision making for households:  income tax, retirement and estate planning, investment strategy, portfolio management, and personal risk management.  Business interests affecting personal finances.	M B A 620	Personal Financial Planning.	
	business-administration		Business Administration	'3	Issues such as mergers/acquisitions, valuation, financial restructurings, leveraged buyouts, capital structure, international portfolio analysis, tax-driven decisions, leasing, recapitalizations, and industry restructurings.	M B A 621	Advanced Corporate Finance.	
	business-administration		Business Administration	'3	Basic principles and techniques of investment analysis and portfolio selection and management.  Portfolio policies available to investors.	M B A 622	Investments.	
	business-administration		Business Administration	'3	How corporate boards are led, focusing especially on the role of the director, the rights of shareholders, the compensation of executives, and the challenge boards face in balancing the needs of shareholders, managers, and other stakeholders.	M B A 623	Corporate Governance.	
	business-administration		Business Administration	'3	Functions and instruments of capital markets:  relationships to money markets, historical background, structures, and analysis of significant economic problems and trends in the markets.	M B A 624	Capital and Security Markets.	
	business-administration		Business Administration	'3	Learn principles, practical methods, and best company practices to attract, develop, and retain an organization's most important resource--its talented people.	M B A 625	Talent Management.	
	business-administration		Business Administration	'3	Valuing and using derivative and fixed-income securities.  Key concepts include equilibrium pricing, arbitrary pricing, and financial engineering.	M B A 626	Derivatives and Fixed Income.	
	business-administration		Business Administration	'3	Impact that currency, tax and capital market variations between countries have on sourcing of funds, management of working capital, investment of funds, and protection of assets.  Understanding the foreign exchange market.	M B A 627	International Finance.	
	business-administration		Business Administration	'3	Team management of actual investment portfolios. Responsibility for economic forecasts, security selection, and portfolio strategy. Students should register for both fall and winter semesters.	M B A 629 A	Silver Fund, Part 1.	
	business-administration		Business Administration	'3	Team management of actual investment portfolios. Responsibility for economic forecasts, security selection, and portfolio strategy. Students should register for both fall and winter semesters.	M B A 629 B	Silver Fund, Part 2.	
	business-administration		Business Administration	'3	Analysis of power and influence processes; develop observational skill; roles of networks, social capital, and influence in organizations; employing power and influence to negotiate effectively.	M B A 631	Power, Influence, and Negotiation.	
	business-administration		Business Administration	'3	How companies win fiercely competitive battles for customer loyalty by bringing together the complementary competencies residing up and down the supply chain to create unique value in a rapidly changing global environment.	M B A 633	Global Supply Chain Strategy.	
	business-administration		Business Administration	'3	Concepts of quality management; strategic issues, philosophies, and tools used to implement and control quality.	M B A 634	Quality Management.	
	business-administration		Business Administration	'1.5	Use spreadsheets to value businesses and structure deals; master Excel, retrieve and interpret financial data; build discounted cash flow, market comparable, and precedent transaction valuation models.	M B A 635	Financial Modeling A: Valuation	
	business-administration		Business Administration	'1.5	Use spreadsheets to structure financial deals including mergers and acquisitions, leverage buyouts, private equity, and venture capital deals.	M B A 636	Financial Modeling B: Transactions.	
	business-administration		Business Administration	'3	Interface of strategy and manufacturing.  Topics include:  capacity and facilities management, work force management, quality management, technology management, vertical integration, manufacturing infrastructure, manufacturing interface with other functions, and incorporating manufacturing in corporate strategy.	M B A 638	Strategic Issues in Operations.	
	business-administration		Business Administration	'3	Strategies, processes, tools, and methods in product development, focusing on initial stages of market and competitive assessment to concept development.	M B A 639	Product Development:  Market to Concept.	
	business-administration		Business Administration	'1.5	Understanding and building individual leadership skills required for a global business environment.	M B A 640	Leadership 2: Strategies for Leading and Managing Organizations.	
	business-administration		Business Administration	'3	Understanding national, organizational, and ethnic cultures and cultural frameworks used for business. Cross-country analysis; international human resource issues and working abroad.	M B A 645	International Human Resources.	
	business-administration		Business Administration	'3	Integrating problem formation, research design, questionnaire construction, sampling, data collection, and data analysis to yield decision-making information.  Examining the proper use of statistical applications and qualitative methods emphasizing results interpretation.	M B A 650	Research Methods in Marketing.	
	business-administration		Business Administration	'3	Completing and analyzing a marketing project in cooperation with corporate clients.  Responsibilities include problem definition, project management, report development, and presentations.	M B A 651	Marketing Field Study.	
	business-administration		Business Administration	'3	Types of data and analytical techniques currently used in marketing. Students will be required to analyze a variety of datasets using software tools including Tableau, R, and Sawtooth Software.	M B A 653	Introduction to Marketing Analytics.	
	business-administration		Business Administration	'3	Improvement of persuasion, selling, and interpersonal leadership skills to influence the behavior of people toward common goals. Managing salespeople and buyers to build a long-term portfolio of loyal, strategic customers.	M B A 654	Strategic Account Management.	
	business-administration		Business Administration	'3	Improving managerial decisions by gaining an in-depth understanding of consumers.  Topics include transproduct consumer needs, perception, information processing, persuasion, decision-making, and post-consumption evaluation.	M B A 655	Consumer Behavior.	
	business-administration		Business Administration	'3	Develop the fundamental skills required to successfully manage consumer brands, including brand strategy and development, P&L management, portfolio creation, AC Nielsen analysis, product innovation and competitive strategy.	M B A 657	Brand Management Strategy.	
	business-administration		Business Administration	'3	Institutions and techniques related to marketing goods and services in other countries:  international dimensions of product, price, distribution channels, and promotion as they are adjusted to meet social, cultural, and political environments found in other countries.	M B A 658	International Marketing.	
	business-administration		Business Administration	'3	Examining the scope and challenges of business-to-business markets, including building and managing customer relationships and services, customer selection, B2B distribution channels, managing R&D and technical product development, new-product launch, positioning, and pricing.	M B A 659	Business-to-Business Marketing.	
	business-administration		Business Administration	'3	Strategic market analysis and development and implementation of a strategic marketing plan for a new product, new business, or an ongoing operation.	M B A 660	Advanced Brand Strategy.	
	business-administration		Business Administration	'3	Concepts/practices of effective negotiation in the global marketplace. Experiential learning techniques: case studies, role plays, simulations, and videos to develop skills. Cross-cultural international factors that affect negotiation.	M B A 661	Global Business Negotiations.	
	business-administration		Business Administration	'3	Academic and applied experience opportunities focusing on venture capital and private equity industries, capital acquisition, due diligence, management, governance issues, and best-practice decision making.	M B A 664	Venture Capital/Private Equity Fundamentals.	
	business-administration		Business Administration	'3	Applied experience in venture capital and private equity, conducting due diligence on clients, industry, competition; observing and participating in deal structure; tracking progress of funded client companies.	M B A 665 A	Advanced Venture Capital/Private Equity Strategies, Part 1.	
	business-administration		Business Administration	'3	Applied experience in venture capital and private equity, conducting due diligence on clients, industry, competition; observing and participating in deal structure; tracking progress of funded client companies.	M B A 665 B	Advanced Venture Capital/Private Equity Strategies, Part 2.	
	business-administration		Business Administration	'3	Developing and applying strategies in emerging businesses, focusing on strategic business models, capital acquisition, and competitive differentiation in new businesses, especially e-businesses. Students consult directly with businesses.	M B A 669	Entrepreneurial Strategy.	
	business-administration		Business Administration	'3	Creating and capturing value through individual and organizational innovation; strategies to increase the flow of innovation and the probability of success.	M B A 670	Innovation and Entrepreneurship.	
	business-administration		Business Administration	'3	Learning the critical skills to create a successful new venture by validating an initial idea and business model in the field.	M B A 671	Creating New Ventures.	
	business-administration		Business Administration	'3	Strategies for start-up companies. Topics include marketing to investors, internal marketing, and marketing products/services without a marketing budget.	M B A 672	Entrepreneurial Marketing.	
	business-administration		Business Administration	'3	Drawing heavily upon the post-undergraduate professional experience, students will operate and grow high-tech or growth businesses after creating a new venture and securing funding.	M B A 674	Managing New Ventures.	
	business-administration		Business Administration	'3	Launching actual new ventures. Mentored learning of idea validation, business models, minimum viable products, and financing plans. Good preparation for participating in BYU's entrepreneurial competitions.	M B A 676	New Venture Launchpad.	
	business-administration		Business Administration	'1.5	Advanced course in competitive strategy for dynamic markets. Exploring topics such as growth, competitor analysis, positioning, and real options. Employing frameworks such as rugged landscapes, Schumperterian competition, and evolutionary economics to develop strategic options.	M B A 680	Competitive Strategy.	
	business-administration		Business Administration	'1.5	Creating alignment among organizational elements of the firm; managing strategic change; and the role of personal and business values in strategy.	M B A 681	Strategy Implementation.	
	business-administration		Business Administration	'3	Understanding conditions under which creative ideas/strategies emerge; building skills for creative strategic thinking; generating valuable ideas for companies.	M B A 683	Creative Strategic Thinking.	
	business-administration		Business Administration	'1.5	Economic, philosophic (logical), psychological, political, and history-based models of decision making and judgment; improving students' decision making processes.	M B A 685	Strategic Decision Making.	
	business-administration		Business Administration	'3	Applying principles and techniques of property investments, including determining value, financing arrangements, and marketing and management problems.	M B A 686	Real Estate Analysis: Finance and Investment.	
	business-administration		Business Administration	'1.5	Participating as teams in an on-line strategy experience and practicing skills in strategy formulation, group decision making, and strategy execution	M B A 687	Strategic Simulation.	
	business-administration		Business Administration	'1.5	Examining and applying models of social innovation unique to corporations: direct investment, partnerships with governments and/or NGOs, direct- or foundation-based philanthropy, and industry-or sector-level interventions, in both domestic and international contexts.	M B A 688	Corporate Social Innovation.	
	business-administration		Business Administration	'1-3	Experiment working with faculty and management in assisting businesses with specific projects.	M B A 690 R	Management Field Study.	
	business-administration		Business Administration	'3	Applying financial and real estate principles to practical property investments. Insights into the real estate profession, emphasizing development.	M B A 691	Real Estate Development.	
